	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																		
2/5/2024	CDM	2872	36147000	HC BX LIVER PERC ONLY		IP		47000	    	361	3155	2050.75	315.5	3155	N/A	2397.8	N/A	2397.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2612.34	2016.05	N/A	2460.9	2807.95	N/A	2183.26	3091.9	2902.6	N/A	1672.15	1672.15	2195.88	N/A	N/A
2/5/2024	CDM	2873	36147000	HC BX LIVER PERC ONLY		OP		47000	    	361	3155	2050.75	315.5	3155	401.34	2397.8	662.55	2397.8	441.47	1317	413.38	662.55	1317	425.42	799.41	417.39	2612.34	2016.05	791.65	2460.9	2807.95	879.21	2183.26	3091.9	2902.6	756.73	966.31	1129.05	2173.79	421.41	788.75
2/5/2024	CDM	2874	36147531	HC CHOLANGIOGRAM EXIST CATH  SI		IP		47531	    	361	5243	3407.95	524.3	5243	N/A	3984.68	N/A	3984.68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4341.2	3350.28	N/A	4089.54	4666.27	N/A	3628.16	5138.14	4823.56	N/A	2778.79	2778.79	3649.13	N/A	N/A
2/5/2024	CDM	2875	36147531	HC CHOLANGIOGRAM EXIST CATH  SI		OP		47531	    	361	5243	3407.95	524.3	5243	862.04	3984.68	1101.03	3984.68	948.24	4157.7	887.9	1101.03	4157.7	913.76	1328.47	896.52	4341.2	3350.28	1315.58	4089.54	4666.27	1876.15	3628.16	5138.14	4823.56	1257.53	966.31	1129.05	3612.43	905.14	1310.75
2/5/2024	CDM	2876	36148102	HC BX PANCREAS PERC		IP		48102	    	361	2315	1504.75	231.5	2315	N/A	1759.4	N/A	1759.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1916.82	1479.29	N/A	1805.7	2060.35	N/A	1601.98	2268.7	2129.8	N/A	1226.95	1226.95	1611.24	N/A	N/A
2/5/2024	CDM	2877	36148102	HC BX PANCREAS PERC		OP		48102	    	361	2315	1504.75	231.5	2315	401.34	1759.4	486.15	1759.4	441.47	1317	413.38	486.15	1317	425.42	586.57	417.39	1916.82	1479.29	580.88	1805.7	2060.35	879.21	1601.98	2268.7	2129.8	555.25	966.31	1129.05	1595.03	421.41	578.75
2/5/2024	CDM	2878	36149083	HC PARACENTESIS DXTX W CT OR US GUIDE		IP		49083	    	361	5146	3344.9	514.6	5146	N/A	3910.96	N/A	3910.96	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4260.89	3288.29	N/A	4013.88	4579.94	N/A	3561.03	5043.08	4734.32	N/A	2727.38	2727.38	3581.62	N/A	N/A
2/5/2024	CDM	2879	36149083	HC PARACENTESIS DXTX W CT OR US GUIDE		OP		49083	    	361	5146	3344.9	224	5146	401.34	3910.96	1080.66	3910.96	441.47	4080.78	413.38	1080.66	4080.78	425.42	1303.9	417.39	4260.89	3288.29	1291.24	4013.88	4579.94	491.58	3561.03	5043.08	4734.32	1234.27	966.31	1129.05	3545.59	421.41	1286.5
2/5/2024	CDM	2880	36149180	HC BX ABD RETROPERITONEAL		IP		49180	    	361	3155	2050.75	315.5	3155	N/A	2397.8	N/A	2397.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2612.34	2016.05	N/A	2460.9	2807.95	N/A	2183.26	3091.9	2902.6	N/A	1672.15	1672.15	2195.88	N/A	N/A
2/5/2024	CDM	2881	36149180	HC BX ABD RETROPERITONEAL		OP		49180	    	361	3155	2050.75	315.5	3155	401.34	2397.8	662.55	2397.8	441.47	1317	413.38	662.55	1317	425.42	799.41	417.39	2612.34	2016.05	791.65	2460.9	2807.95	879.21	2183.26	3091.9	2902.6	756.73	966.31	1129.05	2173.79	421.41	788.75
2/5/2024	CDM	2882	36149400	HC PERITONEOGRAM INJECTION		IP		49400	    	361	1326	861.9	132.6	1326	N/A	1007.76	N/A	1007.76	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1097.93	847.31	N/A	1034.28	1180.14	N/A	917.59	1299.48	1219.92	N/A	702.78	702.78	922.9	N/A	N/A
2/5/2024	CDM	2883	36149400	HC PERITONEOGRAM INJECTION		OP		49400	    	361	1326	861.9	71.25	1326	71.25	1007.76	278.46	1007.76	78.38	1051.52	73.39	278.46	1051.52	75.53	335.99	74.1	1097.93	847.31	332.72	1034.28	1180.14	N/A	917.59	1299.48	1219.92	318.04	702.78	702.78	913.61	74.81	331.5
2/5/2024	CDM	2884	36149405	HC ABSCESS DRAIN VISCERAL W GUID		IP		49405	    	361	6273	4077.45	627.3	6273	N/A	4767.48	N/A	4767.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5194.04	4008.45	N/A	4892.94	5582.97	N/A	4340.92	6147.54	5771.16	N/A	3324.69	3324.69	4366.01	N/A	N/A
2/5/2024	CDM	2885	36149405	HC ABSCESS DRAIN VISCERAL W GUID		OP		49405	    	361	6273	4077.45	401.34	6273	401.34	4767.48	1317.33	4767.48	441.47	4974.49	413.38	1317.33	4974.49	425.42	1589.46	417.39	5194.04	4008.45	1574.02	4892.94	5582.97	879.21	4340.92	6147.54	5771.16	1504.58	3324.69	3324.69	4322.1	421.41	1568.25
2/5/2024	CDM	2886	36149406	HC ABSCESS DRAIN PERITRETRO W GUID		IP		49406	    	361	6273	4077.45	627.3	6273	N/A	4767.48	N/A	4767.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5194.04	4008.45	N/A	4892.94	5582.97	N/A	4340.92	6147.54	5771.16	N/A	3324.69	3324.69	4366.01	N/A	N/A
2/5/2024	CDM	2887	36149406	HC ABSCESS DRAIN PERITRETRO W GUID		OP		49406	    	361	6273	4077.45	401.34	6273	401.34	4767.48	1317.33	4767.48	441.47	4974.49	413.38	1317.33	4974.49	425.42	1589.46	417.39	5194.04	4008.45	1574.02	4892.94	5582.97	879.21	4340.92	6147.54	5771.16	1504.58	3324.69	3324.69	4322.1	421.41	1568.25
2/5/2024	CDM	2888	36149418	HC PERITONEAL TUNN CATH COMPLETE		IP		49418	    	361	9914	6444.1	991.4	9914	N/A	7534.64	N/A	7534.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8208.79	6335.05	N/A	7732.92	8823.46	N/A	6860.49	9715.72	9120.88	N/A	5254.42	5254.42	6900.14	N/A	N/A
2/5/2024	CDM	2889	36149418	HC PERITONEAL TUNN CATH COMPLETE		OP		49418	    	361	9914	6444.1	991.4	9914	1763.91	7534.64	2081.94	7534.64	1940.3	7861.8	1816.83	2081.94	7861.8	1869.74	2512.01	1834.47	8208.79	6335.05	2487.62	7732.92	8823.46	1876.15	6860.49	9715.72	9120.88	2377.88	2085.19	2431.02	6830.75	1852.11	2478.5
2/5/2024	CDM	2890	36149450	HC REPL G OR COLONIC TUBE INC FLUO		IP		49450	    	361	2026	1316.9	202.6	2026	N/A	1539.76	N/A	1539.76	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1677.53	1294.61	N/A	1580.28	1803.14	N/A	1401.99	1985.48	1863.92	N/A	1073.78	1073.78	1410.1	N/A	N/A
2/5/2024	CDM	2891	36149450	HC REPL G OR COLONIC TUBE INC FLUO		OP		49450	    	361	2026	1316.9	202.6	2026	260.18	1539.76	425.46	1539.76	286.2	1606.62	267.99	425.46	1606.62	275.79	513.35	270.59	1677.53	1294.61	508.37	1580.28	1803.14	491.58	1401.99	1985.48	1863.92	485.94	1073.78	1073.78	1395.91	273.19	506.5
2/5/2024	CDM	2892	36149451	HC REPL DUOD OR JEJU TUBE INC FLU		IP		49451	    	361	2026	1316.9	202.6	2026	N/A	1539.76	N/A	1539.76	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1677.53	1294.61	N/A	1580.28	1803.14	N/A	1401.99	1985.48	1863.92	N/A	1073.78	1073.78	1410.1	N/A	N/A
2/5/2024	CDM	2893	36149451	HC REPL DUOD OR JEJU TUBE INC FLU		OP		49451	    	361	2026	1316.9	202.6	2026	260.18	1539.76	425.46	1539.76	286.2	1606.62	267.99	425.46	1606.62	275.79	513.35	270.59	1677.53	1294.61	508.37	1580.28	1803.14	491.58	1401.99	1985.48	1863.92	485.94	1073.78	1073.78	1395.91	273.19	506.5
2/5/2024	CDM	2894	36149452	HC REPL GASTROJEJUN TUBE INC FLU		IP		49452	    	361	2026	1316.9	202.6	2026	N/A	1539.76	N/A	1539.76	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1677.53	1294.61	N/A	1580.28	1803.14	N/A	1401.99	1985.48	1863.92	N/A	1073.78	1073.78	1410.1	N/A	N/A
2/5/2024	CDM	2895	36149452	HC REPL GASTROJEJUN TUBE INC FLU		OP		49452	    	361	2026	1316.9	202.6	2026	260.18	1539.76	425.46	1539.76	286.2	1606.62	267.99	425.46	1606.62	275.79	513.35	270.59	1677.53	1294.61	508.37	1580.28	1803.14	491.58	1401.99	1985.48	1863.92	485.94	1073.78	1073.78	1395.91	273.19	506.5
2/5/2024	CDM	2896	36149465	HC CONTRAST INJ EXISTING GITUBE		IP		49465	    	361	635	412.75	63.5	635	N/A	482.6	N/A	482.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	525.78	405.76	N/A	495.3	565.15	N/A	439.42	622.3	584.2	N/A	336.55	336.55	441.96	N/A	N/A
2/5/2024	CDM	2897	36149465	HC CONTRAST INJ EXISTING GITUBE		OP		49465	    	361	635	412.75	63.5	635	123.93	482.6	133.35	482.6	136.32	503.56	127.65	133.35	503.56	131.37	160.89	128.89	525.78	405.76	159.33	495.3	565.15	132.89	439.42	622.3	584.2	152.3	336.55	336.55	437.51	130.13	158.75
2/5/2024	CDM	2898	36150200	HC BX RENAL		IP		50200	    	361	2448	1591.2	244.8	2448	N/A	1860.48	N/A	1860.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2026.94	1564.27	N/A	1909.44	2178.72	N/A	1694.02	2399.04	2252.16	N/A	1297.44	1297.44	1703.81	N/A	N/A
2/5/2024	CDM	2899	36150200	HC BX RENAL		OP		50200	    	361	2448	1591.2	244.8	2448	872.68	1860.48	514.08	1860.48	959.95	1317	898.86	514.08	1317	925.04	620.27	907.59	2026.94	1564.27	614.25	1909.44	2178.72	879.21	1694.02	2399.04	2252.16	587.15	966.31	1129.05	1686.67	916.31	612
2/5/2024	CDM	2900	36150384	HC REMOVAL URETERAL STENT PERCUTANEOUS		IP		50384	    	361	6918	4496.7	691.8	6918	N/A	5257.68	N/A	5257.68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5728.1	4420.6	N/A	5396.04	6157.02	N/A	4787.26	6779.64	6364.56	N/A	3666.54	3666.54	4814.93	N/A	N/A
2/5/2024	CDM	2901	36150384	HC REMOVAL URETERAL STENT PERCUTANEOUS		OP		50384	    	361	6918	4496.7	224	6918	872.68	5257.68	1452.78	5257.68	959.95	5485.97	898.86	1452.78	5485.97	925.04	1752.89	907.59	5728.1	4420.6	1735.87	5396.04	6157.02	1104.55	4787.26	6779.64	6364.56	1659.28	1830.9	2136.05	4766.5	916.31	1729.5
2/5/2024	CDM	2902	36150390	HC RENAL CYSTPELVIS ASPINJ		IP		50390	    	361	2357	1532.05	235.7	2357	N/A	1791.32	N/A	1791.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1951.6	1506.12	N/A	1838.46	2097.73	N/A	1631.04	2309.86	2168.44	N/A	1249.21	1249.21	1640.47	N/A	N/A
2/5/2024	CDM	2903	36150390	HC RENAL CYSTPELVIS ASPINJ		OP		50390	    	361	2357	1532.05	235.7	2357	247.45	1791.32	494.97	1791.32	272.2	1317	254.87	494.97	1317	262.3	597.22	257.35	1951.6	1506.12	591.42	1838.46	2097.73	381.54	1631.04	2309.86	2168.44	565.33	966.31	1129.05	1623.97	259.82	589.25
2/5/2024	CDM	2904	36150431	HC NEPHROSTOGRAM EXIST CATH SI		IP		50431	    	361	1615	1049.75	161.5	1615	N/A	1227.4	N/A	1227.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1337.22	1031.99	N/A	1259.7	1437.35	N/A	1117.58	1582.7	1485.8	N/A	855.95	855.95	1124.04	N/A	N/A
2/5/2024	CDM	2905	36150431	HC NEPHROSTOGRAM EXIST CATH SI		OP		50431	    	361	1615	1049.75	161.5	1615	247.45	1227.4	339.15	1227.4	272.2	1280.7	254.87	339.15	1280.7	262.3	409.21	257.35	1337.22	1031.99	405.24	1259.7	1437.35	370.44	1117.58	1582.7	1485.8	387.36	966.31	1129.05	1112.73	259.82	403.75
2/5/2024	CDM	2906	36150432	HC PERC NEPH TUBE NGRAM  SI		IP		50432	    	361	5778	3755.7	577.8	5778	N/A	4391.28	N/A	4391.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4784.18	3692.14	N/A	4506.84	5142.42	N/A	3998.38	5662.44	5315.76	N/A	3062.34	3062.34	4021.49	N/A	N/A
2/5/2024	CDM	2907	36150432	HC PERC NEPH TUBE NGRAM  SI		OP		50432	    	361	5778	3755.7	577.8	5778	872.68	4391.28	1213.38	4391.28	959.95	4581.95	898.86	1213.38	4581.95	925.04	1464.03	907.59	4784.18	3692.14	1449.82	4506.84	5142.42	1104.55	3998.38	5662.44	5315.76	1385.86	1483.02	1731.22	3981.04	916.31	1444.5
2/5/2024	CDM	2908	36150435	HC NEPH TUBE EXCHANGE NGRAM		IP		50435	    	361	5778	3755.7	577.8	5778	N/A	4391.28	N/A	4391.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4784.18	3692.14	N/A	4506.84	5142.42	N/A	3998.38	5662.44	5315.76	N/A	3062.34	3062.34	4021.49	N/A	N/A
2/5/2024	CDM	2909	36150435	HC NEPH TUBE EXCHANGE NGRAM		OP		50435	    	361	5778	3755.7	577.8	5778	872.68	4391.28	1213.38	4391.28	959.95	4581.95	898.86	1213.38	4581.95	925.04	1464.03	907.59	4784.18	3692.14	1449.82	4506.84	5142.42	1104.55	3998.38	5662.44	5315.76	1385.86	966.31	1129.05	3981.04	916.31	1444.5
2/5/2024	CDM	2910	36150693	HC URET STENT EXIST CATH NGRAM		IP		50693	    	361	8820	5733	882	8820	N/A	6703.2	N/A	6703.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7302.96	5635.98	N/A	6879.6	7849.8	N/A	6103.44	8643.6	8114.4	N/A	4674.6	4674.6	6138.72	N/A	N/A
2/5/2024	CDM	2911	36150693	HC URET STENT EXIST CATH NGRAM		OP		50693	    	361	8820	5733	882	8820	1839.78	6703.2	1852.2	6703.2	2023.76	6994.26	1894.97	1852.2	6994.26	1950.17	2234.81	1913.37	7302.96	5635.98	2213.11	6879.6	7849.8	1890.51	6103.44	8643.6	8114.4	2115.48	2085.19	2431.02	6076.98	1931.77	2205
2/5/2024	CDM	2912	36150694	HC URET STENT NEW ACCESS WO CATH		IP		50694	    	361	8820	5733	882	8820	N/A	6703.2	N/A	6703.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7302.96	5635.98	N/A	6879.6	7849.8	N/A	6103.44	8643.6	8114.4	N/A	4674.6	4674.6	6138.72	N/A	N/A
2/5/2024	CDM	2913	36150694	HC URET STENT NEW ACCESS WO CATH		OP		50694	    	361	8820	5733	882	8820	1839.78	6703.2	1852.2	6703.2	2023.76	6994.26	1894.97	1852.2	6994.26	1950.17	2234.81	1913.37	7302.96	5635.98	2213.11	6879.6	7849.8	1890.51	6103.44	8643.6	8114.4	2115.48	2085.19	2431.02	6076.98	1931.77	2205
2/5/2024	CDM	2914	36151102	HC INSERT SUPRAPUBIC CATHETER		IP		51102	    	361	6721	4368.65	672.1	6721	N/A	5107.96	N/A	5107.96	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5564.99	4294.72	N/A	5242.38	5981.69	N/A	4650.93	6586.58	6183.32	N/A	3562.13	3562.13	4677.82	N/A	N/A
2/5/2024	CDM	2915	36151102	HC INSERT SUPRAPUBIC CATHETER		OP		51102	    	361	6721	4368.65	672.1	6721	926.67	5107.96	1411.41	5107.96	1019.34	5329.75	954.47	1411.41	5329.75	982.27	1702.97	963.74	5564.99	4294.72	1686.44	5242.38	5981.69	1104.55	4650.93	6586.58	6183.32	1612.03	966.31	1129.05	4630.77	973	1680.25
2/5/2024	CDM	2916	36151600	HC INJ VCUG OR CYSTOGRAPHY		IP		51600	    	361	727	472.55	72.7	727	N/A	552.52	N/A	552.52	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	601.96	464.55	N/A	567.06	647.03	N/A	503.08	712.46	668.84	N/A	385.31	385.31	505.99	N/A	N/A
2/5/2024	CDM	2917	36151600	HC INJ VCUG OR CYSTOGRAPHY		OP		51600	    	361	727	472.55	71.25	1129.05	71.25	552.52	152.67	552.52	78.38	576.51	73.39	152.67	576.51	75.53	184.2	74.1	601.96	464.55	182.42	567.06	647.03	N/A	503.08	712.46	668.84	174.37	966.31	1129.05	500.9	74.81	181.75
2/5/2024	CDM	2918	36151610	HC INJ PROC RETROGRADE URETHROCYS		IP		51610	    	361	791	514.15	79.1	791	N/A	601.16	N/A	601.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	654.95	505.45	N/A	616.98	703.99	N/A	547.37	775.18	727.72	N/A	419.23	419.23	550.54	N/A	N/A
2/5/2024	CDM	2919	36151610	HC INJ PROC RETROGRADE URETHROCYS		OP		51610	    	361	791	514.15	71.25	791	71.25	601.16	166.11	601.16	78.38	627.26	73.39	166.11	627.26	75.53	200.42	74.1	654.95	505.45	198.48	616.98	703.99	N/A	547.37	775.18	727.72	189.72	419.23	419.23	545	74.81	197.75
2/5/2024	CDM	2920	36151705	HC CYSTOSTOMYSUPRAPUBIC TUBE CHNGE		IP		51705	    	361	891	579.15	89.1	891	N/A	677.16	N/A	677.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	737.75	569.35	N/A	694.98	792.99	N/A	616.57	873.18	819.72	N/A	472.23	472.23	620.14	N/A	N/A
2/5/2024	CDM	2921	36151705	HC CYSTOSTOMYSUPRAPUBIC TUBE CHNGE		OP		51705	    	361	891	579.15	43.17	891	43.17	677.16	187.11	677.16	47.49	706.56	44.47	187.11	706.56	45.76	225.76	44.9	737.75	569.35	223.57	694.98	792.99	134.03	616.57	873.18	819.72	213.71	472.23	472.23	613.9	45.33	222.75
2/5/2024	CDM	2922	36151720	HC BLADDER INSTILL ANTICARC AGT		IP		51720	    	361	891	579.15	89.1	891	N/A	677.16	N/A	677.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	737.75	569.35	N/A	694.98	792.99	N/A	616.57	873.18	819.72	N/A	472.23	472.23	620.14	N/A	N/A
2/5/2024	CDM	2923	36151720	HC BLADDER INSTILL ANTICARC AGT		OP		51720	    	361	891	579.15	89.1	959.69	247.45	677.16	187.11	677.16	272.2	706.56	254.87	187.11	706.56	262.3	225.76	257.35	737.75	569.35	223.57	694.98	792.99	370.44	616.57	873.18	819.72	213.71	472.23	472.23	613.9	259.82	222.75
2/5/2024	CDM	2924	36155700	HC BX PROSTATE ANY APPROACH		IP		55700	    	361	1465	952.25	146.5	1465	N/A	1113.4	N/A	1113.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1213.02	936.13	N/A	1142.7	1303.85	N/A	1013.78	1435.7	1347.8	N/A	776.45	776.45	1019.64	N/A	N/A
2/5/2024	CDM	2925	36155700	HC BX PROSTATE ANY APPROACH		OP		55700	    	361	1465	952.25	146.5	2861.49	980.09	1113.4	307.65	1113.4	1078.1	1768	1009.49	307.65	1768	1038.9	371.2	1019.29	1213.02	936.13	367.6	1142.7	1303.85	1104.55	1013.78	1435.7	1347.8	351.38	1297.9	1513.54	1009.38	1029.09	366.25
2/5/2024	CDM	2926	36158340	HC INJ HYSTEROSALPINGOGRAM		IP		58340	    	361	607	394.55	60.7	607	N/A	461.32	N/A	461.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	502.6	387.87	N/A	473.46	540.23	N/A	420.04	594.86	558.44	N/A	321.71	321.71	422.47	N/A	N/A
2/5/2024	CDM	2927	36158340	HC INJ HYSTEROSALPINGOGRAM		OP		58340	    	361	607	394.55	60.7	607	71.25	461.32	127.47	461.32	78.38	481.35	73.39	127.47	481.35	75.53	153.8	74.1	502.6	387.87	152.31	473.46	540.23	N/A	420.04	594.86	558.44	145.59	321.71	321.71	418.22	74.81	151.75
2/5/2024	CDM	2928	36160100	HC BX THYROID		IP		60100	    	361	1738	1129.7	173.8	1738	N/A	1320.88	N/A	1320.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1439.06	1110.58	N/A	1355.64	1546.82	N/A	1202.7	1703.24	1598.96	N/A	921.14	921.14	1209.65	N/A	N/A
2/5/2024	CDM	2929	36160100	HC BX THYROID		OP		60100	    	361	1738	1129.7	173.8	1738	334.27	1320.88	364.98	1320.88	367.7	1378.23	344.3	364.98	1378.23	354.33	440.38	347.64	1439.06	1110.58	436.1	1355.64	1546.82	381.54	1202.7	1703.24	1598.96	416.86	921.14	921.14	1197.48	350.98	434.5
2/5/2024	CDM	2930	36160300	HC ASPINJ THYROID CYST		IP		60300	    	361	1161	754.65	116.1	1161	N/A	882.36	N/A	882.36	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	961.31	741.88	N/A	905.58	1033.29	N/A	803.41	1137.78	1068.12	N/A	615.33	615.33	808.06	N/A	N/A
2/5/2024	CDM	2931	36160300	HC ASPINJ THYROID CYST		OP		60300	    	361	1161	754.65	116.1	1161	334.27	882.36	243.81	882.36	367.7	920.67	344.3	243.81	920.67	354.33	294.18	347.64	961.31	741.88	291.32	905.58	1033.29	381.54	803.41	1137.78	1068.12	278.46	615.33	615.33	799.93	350.98	290.25
2/5/2024	CDM	2932	36162267	HC PERC INTERVERTEBRAL DISC ASPIRATIONBIOPSY		IP		62267	    	361	1738	1129.7	173.8	1738	N/A	1320.88	N/A	1320.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1439.06	1110.58	N/A	1355.64	1546.82	N/A	1202.7	1703.24	1598.96	N/A	921.14	921.14	1209.65	N/A	N/A
2/5/2024	CDM	2933	36162267	HC PERC INTERVERTEBRAL DISC ASPIRATIONBIOPSY		OP		62267	    	361	1738	1129.7	173.8	1738	491.41	1320.88	364.98	1320.88	540.55	1378.23	506.15	364.98	1378.23	520.89	440.38	511.07	1439.06	1110.58	436.1	1355.64	1546.82	381.54	1202.7	1703.24	1598.96	416.86	921.14	921.14	1197.48	515.98	434.5
2/5/2024	CDM	2934	36162270	HC SPINAL PUNC LUMBAR DIAGNOSTIC WITHOUT GUID		IP		62270	    	361	1631	1060.15	163.1	1631	N/A	1239.56	N/A	1239.56	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1350.47	1042.21	N/A	1272.18	1451.59	N/A	1128.65	1598.38	1500.52	N/A	864.43	864.43	1135.18	N/A	N/A
2/5/2024	CDM	2935	36162270	HC SPINAL PUNC LUMBAR DIAGNOSTIC WITHOUT GUID		OP		62270	    	361	1631	1060.15	163.1	1631	491.41	1239.56	342.51	1239.56	540.55	1317	506.15	342.51	1317	520.89	413.26	511.07	1350.47	1042.21	409.25	1272.18	1451.59	375.02	1128.65	1598.38	1500.52	391.2	966.31	1129.05	1123.76	515.98	407.75
2/5/2024	CDM	2936	36162273	HC BLOOD PATCH		IP		62273	    	361	2548	1656.2	254.8	2548	N/A	1936.48	N/A	1936.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2109.74	1628.17	N/A	1987.44	2267.72	N/A	1763.22	2497.04	2344.16	N/A	1350.44	1350.44	1773.41	N/A	N/A
2/5/2024	CDM	2937	36162273	HC BLOOD PATCH		OP		62273	    	361	2548	1656.2	254.8	2548	491.41	1936.48	535.08	1936.48	540.55	1317	506.15	535.08	1317	520.89	645.61	511.07	2109.74	1628.17	639.35	1987.44	2267.72	375.02	1763.22	2497.04	2344.16	611.13	966.31	1129.05	1755.57	515.98	637
2/5/2024	CDM	2938	36162284	HC INJ SPINAL MYELOGRAPHY		IP		62284	    	361	791	514.15	79.1	791	N/A	601.16	N/A	601.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	654.95	505.45	N/A	616.98	703.99	N/A	547.37	775.18	727.72	N/A	419.23	419.23	550.54	N/A	N/A
2/5/2024	CDM	2939	36162284	HC INJ SPINAL MYELOGRAPHY		OP		62284	    	361	791	514.15	71.25	791	71.25	601.16	166.11	601.16	78.38	627.26	73.39	166.11	627.26	75.53	200.42	74.1	654.95	505.45	198.48	616.98	703.99	N/A	547.37	775.18	727.72	189.72	419.23	419.23	545	74.81	197.75
2/5/2024	CDM	2940	36162302	HC MYELOGRAM CERVICAL COMPLETE		IP		62302	    	361	2333	1516.45	233.3	2333	N/A	1773.08	N/A	1773.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1931.72	1490.79	N/A	1819.74	2076.37	N/A	1614.44	2286.34	2146.36	N/A	1236.49	1236.49	1623.77	N/A	N/A
2/5/2024	CDM	2941	36162302	HC MYELOGRAM CERVICAL COMPLETE		OP		62302	    	361	2333	1516.45	190.46	2333	330.72	1773.08	489.93	1773.08	363.79	1850.07	340.64	489.93	1850.07	350.56	591.14	343.95	1931.72	1490.79	585.4	1819.74	2076.37	434.2	1614.44	2286.34	2146.36	559.57	966.31	1129.05	1607.44	347.26	583.25
2/5/2024	CDM	2942	36162303	HC MYELOGRAM THORACIC COMPLETE		IP		62303	    	361	2333	1516.45	233.3	2333	N/A	1773.08	N/A	1773.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1931.72	1490.79	N/A	1819.74	2076.37	N/A	1614.44	2286.34	2146.36	N/A	1236.49	1236.49	1623.77	N/A	N/A
2/5/2024	CDM	2943	36162303	HC MYELOGRAM THORACIC COMPLETE		OP		62303	    	361	2333	1516.45	190.46	2333	330.72	1773.08	489.93	1773.08	363.79	1850.07	340.64	489.93	1850.07	350.56	591.14	343.95	1931.72	1490.79	585.4	1819.74	2076.37	434.2	1614.44	2286.34	2146.36	559.57	966.31	1129.05	1607.44	347.26	583.25
2/5/2024	CDM	2944	36162304	HC MYELOGRAM LUMBAR COMPLETE		IP		62304	    	361	2333	1516.45	233.3	2333	N/A	1773.08	N/A	1773.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1931.72	1490.79	N/A	1819.74	2076.37	N/A	1614.44	2286.34	2146.36	N/A	1236.49	1236.49	1623.77	N/A	N/A
2/5/2024	CDM	2945	36162304	HC MYELOGRAM LUMBAR COMPLETE		OP		62304	    	361	2333	1516.45	190.46	2333	330.72	1773.08	489.93	1773.08	363.79	1850.07	340.64	489.93	1850.07	350.56	591.14	343.95	1931.72	1490.79	585.4	1819.74	2076.37	434.2	1614.44	2286.34	2146.36	559.57	966.31	1129.05	1607.44	347.26	583.25
2/5/2024	CDM	2946	36162305	HC MYELOGRAM 2 REGIONS COMPLETE		IP		62305	    	361	2761	1794.65	276.1	2761	N/A	2098.36	N/A	2098.36	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2286.11	1764.28	N/A	2153.58	2457.29	N/A	1910.61	2705.78	2540.12	N/A	1463.33	1463.33	1921.66	N/A	N/A
2/5/2024	CDM	2947	36162305	HC MYELOGRAM 2 REGIONS COMPLETE		OP		62305	    	361	2761	1794.65	190.46	2761	330.72	2098.36	579.81	2098.36	363.79	2189.47	340.64	579.81	2189.47	350.56	699.58	343.95	2286.11	1764.28	692.79	2153.58	2457.29	434.2	1910.61	2705.78	2540.12	662.22	966.31	1129.05	1902.33	347.26	690.25
