	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																			
2/5/2024	DRG	3752	MS-DRG 244	PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC	244	IP					69413.85	45119	1751.67	69413.85	N/A	46507.28	3386.51	46507.28	N/A	44216.62	N/A	3386.51	44147.21	N/A	1850.48	N/A	55392.25	28390.26	1832.51	52060.39	54836.94	1796.58	N/A	45119	62472.47	52060.39	1751.67	36789.34	36789.34	42064.79	N/A	1799.94
2/5/2024	DRG	3753	MS-DRG 245	AICD GENERATOR PROCEDURES	245	IP					97360.51	63284.33	1751.67	97360.51	N/A	65231.54	3386.51	65231.54	N/A	62018.64	N/A	3386.51	61921.28	N/A	1850.48	N/A	77693.69	39820.45	1832.51	73020.38	76914.8	1796.58	N/A	63284.33	87624.46	73020.38	1751.67	51601.07	51601.07	59000.47	N/A	1799.94
2/5/2024	DRG	3754	MS-DRG 246	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS	246	IP					251843.09	163698.01	1751.67	251843.09	N/A	168734.87	3386.51	168734.87	N/A	160424.05	N/A	3386.51	160172.21	N/A	1850.48	N/A	200970.79	103003.82	1832.51	188882.32	198956.04	1796.58	N/A	163698.01	226658.78	188882.32	1751.67	133476.84	133476.84	152616.91	N/A	1799.94
2/5/2024	DRG	3755	MS-DRG 247	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC	247	IP					71973.82	46782.98	1751.67	71973.82	N/A	48222.46	3386.51	48222.46	N/A	45847.32	N/A	3386.51	45775.35	N/A	1850.48	N/A	57435.11	29437.29	1832.51	53980.37	56859.32	1796.58	N/A	46782.98	64776.44	53980.37	1751.67	38146.12	38146.12	43616.13	N/A	1799.94
2/5/2024	DRG	3756	MS-DRG 248	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS	248	IP					99454.8	64645.62	1751.67	99454.8	N/A	66634.72	3386.51	66634.72	N/A	63352.71	N/A	3386.51	63253.25	N/A	1850.48	N/A	79364.93	40677.01	1832.51	74591.1	78569.29	1796.58	N/A	64645.62	89509.32	74591.1	1751.67	52711.04	52711.04	60269.61	N/A	1799.94
2/5/2024	DRG	3757	MS-DRG 249	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC	249	IP					120263.5	78171.28	1751.67	120263.5	N/A	80576.54	3386.51	80576.54	N/A	76607.85	N/A	3386.51	76487.59	N/A	1850.48	N/A	95970.27	49187.77	1832.51	90197.62	95008.16	1796.58	N/A	78171.27	108237.15	90197.62	1751.67	63739.65	63739.65	72879.68	N/A	1799.94
2/5/2024	DRG	3758	MS-DRG 250	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC	250	IP					124284.85	80785.15	1751.67	124284.85	N/A	83270.85	3386.51	83270.85	N/A	79169.45	N/A	3386.51	79045.16	N/A	1850.48	N/A	99179.31	50832.5	1832.51	93213.64	98185.03	1796.58	N/A	80785.15	111856.36	93213.64	1751.67	65870.97	65870.97	75316.62	N/A	1799.94
2/5/2024	DRG	3759	MS-DRG 251	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC	251	IP					92078.6	59851.09	1751.67	92078.6	N/A	61692.66	3386.51	61692.66	N/A	58654.07	N/A	3386.51	58561.99	N/A	1850.48	N/A	73478.72	37660.15	1832.51	69058.95	72742.09	1796.58	N/A	59851.09	82870.74	69058.95	1751.67	48801.66	48801.66	55799.63	N/A	1799.94
2/5/2024	DRG	3760	MS-DRG 252	OTHER VASCULAR PROCEDURES WITH MCC	252	IP					123233.8	80101.97	1751.67	123233.8	N/A	82566.65	3386.51	82566.65	N/A	78499.93	N/A	3386.51	78376.7	N/A	1850.48	N/A	98340.57	50402.62	1832.51	92425.35	97354.7	1796.58	N/A	80101.97	110910.42	92425.35	1751.67	65313.91	65313.91	74679.68	N/A	1799.94
2/5/2024	DRG	3761	MS-DRG 253	OTHER VASCULAR PROCEDURES WITH CC	253	IP					118251.75	76863.64	1751.67	118251.75	N/A	79228.67	3386.51	79228.67	N/A	75326.36	N/A	3386.51	75208.11	N/A	1850.48	N/A	94364.9	48364.97	1832.51	88688.81	93418.88	1796.58	N/A	76863.64	106426.57	88688.81	1751.67	62673.43	62673.43	71660.56	N/A	1799.94
2/5/2024	DRG	3762	MS-DRG 254	OTHER VASCULAR PROCEDURES WITHOUT CC/MCC	254	IP					49571.69	32221.6	1751.67	49571.69	N/A	33213.03	3386.51	33213.03	N/A	31577.17	N/A	3386.51	31527.59	N/A	1850.48	N/A	39558.21	20274.82	1832.51	37178.77	39161.64	1796.58	N/A	32221.6	44614.52	37178.77	1751.67	26273	26273	30040.44	N/A	1799.94
2/5/2024	DRG	3763	MS-DRG 255	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC	255	IP					37721.69	24519.1	1751.67	37721.69	N/A	25273.53	3386.51	25273.53	N/A	24028.72	N/A	3386.51	23990.99	N/A	1850.48	N/A	30101.91	15428.17	1832.51	28291.27	29800.14	1796.58	N/A	24519.1	33949.52	28291.27	1751.67	19992.5	19992.5	22859.34	N/A	1799.94
2/5/2024	DRG	3764	MS-DRG 256	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC	256	IP					41018.55	26662.06	1751.67	41018.55	N/A	27482.43	3386.51	27482.43	N/A	26128.82	N/A	3386.51	26087.8	N/A	1850.48	N/A	32732.8	16776.59	1832.51	30763.91	32404.65	1796.58	N/A	26662.06	36916.7	30763.91	1751.67	21739.83	21739.83	24857.24	N/A	1799.94
2/5/2024	DRG	3765	MS-DRG 257	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC	257	IP					36216.63	23540.81	1751.67	36216.63	N/A	24265.14	3386.51	24265.14	N/A	23069.99	N/A	3386.51	23033.78	N/A	1850.48	N/A	28900.87	14812.6	1832.51	27162.47	28611.14	1796.58	N/A	23540.81	32594.97	27162.47	1751.67	19194.81	19194.81	21947.28	N/A	1799.94
2/5/2024	DRG	3766	MS-DRG 258	CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC	258	IP					66366.35	43138.13	1751.67	66366.35	N/A	44465.45	3386.51	44465.45	N/A	42275.36	N/A	3386.51	42209	N/A	1850.48	N/A	52960.35	27143.84	1832.51	49774.76	52429.42	1796.58	N/A	43138.13	59729.72	49774.76	1751.67	35174.17	35174.17	40218.01	N/A	1799.94
2/5/2024	DRG	3767	MS-DRG 259	CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC	259	IP					58252.65	37864.22	1751.67	58252.65	N/A	39029.28	3386.51	39029.28	N/A	37106.94	N/A	3386.51	37048.69	N/A	1850.48	N/A	46485.61	23825.33	1832.51	43689.49	46019.59	1796.58	N/A	37864.22	52427.39	43689.49	1751.67	30873.9	30873.9	35301.11	N/A	1799.94
2/5/2024	DRG	3768	MS-DRG 260	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC	260	IP					112219.86	72942.91	1751.67	112219.86	N/A	75187.31	3386.51	75187.31	N/A	71484.05	N/A	3386.51	71371.83	N/A	1850.48	N/A	89551.45	45897.92	1832.51	84164.9	88653.69	1796.58	N/A	72942.91	100997.87	84164.9	1751.67	59476.53	59476.53	68005.24	N/A	1799.94
2/5/2024	DRG	3769	MS-DRG 261	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC	261	IP					50271.86	32676.71	1751.67	50271.86	N/A	33682.15	3386.51	33682.15	N/A	32023.17	N/A	3386.51	31972.9	N/A	1850.48	N/A	40116.94	20561.19	1832.51	37703.9	39714.77	1796.58	N/A	32676.71	45244.67	37703.9	1751.67	26644.09	26644.09	30464.75	N/A	1799.94
2/5/2024	DRG	3770	MS-DRG 262	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC	262	IP					65578.62	42626.1	1751.67	65578.62	N/A	43937.68	3386.51	43937.68	N/A	41773.58	N/A	3386.51	41708	N/A	1850.48	N/A	52331.74	26821.66	1832.51	49183.97	51807.11	1796.58	N/A	42626.1	59020.76	49183.97	1751.67	34756.67	34756.67	39740.64	N/A	1799.94
2/5/2024	DRG	3771	MS-DRG 263	VEIN LIGATION AND STRIPPING	263	IP					114668.35	74534.43	1751.67	114668.35	N/A	76827.79	3386.51	76827.79	N/A	73043.74	N/A	3386.51	72929.07	N/A	1850.48	N/A	91505.34	46899.36	1832.51	86001.26	90588	1796.58	N/A	74534.43	103201.52	86001.26	1751.67	60774.23	60774.23	69489.02	N/A	1799.94
2/5/2024	DRG	3772	MS-DRG 264	OTHER CIRCULATORY SYSTEM O.R. PROCEDURES	264	IP					49580.14	32227.09	1751.67	49580.14	N/A	33218.69	3386.51	33218.69	N/A	31582.55	N/A	3386.51	31532.97	N/A	1850.48	N/A	39564.95	20278.28	1832.51	37185.1	39168.31	1796.58	N/A	32227.09	44622.13	37185.1	1751.67	26277.47	26277.47	30045.56	N/A	1799.94
2/5/2024	DRG	3773	MS-DRG 265	AICD LEAD PROCEDURES	265	IP					97365.4	63287.51	1751.67	97365.4	N/A	65234.82	3386.51	65234.82	N/A	62021.76	N/A	3386.51	61924.39	N/A	1850.48	N/A	77697.59	39822.45	1832.51	73024.05	76918.67	1796.58	N/A	63287.51	87628.86	73024.05	1751.67	51603.66	51603.66	59003.43	N/A	1799.94
2/5/2024	DRG	3774	MS-DRG 266	ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC	266	IP					187383.61	121799.35	1751.67	187383.61	N/A	125547.02	3386.51	125547.02	N/A	119363.36	N/A	3386.51	119175.98	N/A	1850.48	N/A	149532.12	76639.9	1832.51	140537.71	148033.05	1796.58	N/A	121799.35	168645.25	140537.71	1751.67	99313.31	99313.31	113554.47	N/A	1799.94
2/5/2024	DRG	3775	MS-DRG 267	ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC	267	IP					166713.8	108363.97	1751.67	166713.8	N/A	111698.25	3386.51	111698.25	N/A	106196.69	N/A	3386.51	106029.98	N/A	1850.48	N/A	133037.61	68185.94	1832.51	125035.35	131703.9	1796.58	N/A	108363.97	150042.42	125035.35	1751.67	88358.31	88358.31	101028.56	N/A	1799.94
2/5/2024	DRG	3776	MS-DRG 268	AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC	268	IP					540754.16	351490.2	1751.67	540754.16	N/A	362305.29	3386.51	362305.29	N/A	344460.4	N/A	3386.51	343919.65	N/A	1850.48	N/A	431521.82	221168.45	1832.51	405565.62	427195.79	1796.58	N/A	351490.2	486678.74	405565.62	1751.67	286599.7	286599.7	327697.02	N/A	1799.94
2/5/2024	DRG	3777	MS-DRG 269	AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC	269	IP					209018.27	135861.88	1751.67	209018.27	N/A	140042.24	3386.51	140042.24	N/A	133144.64	N/A	3386.51	132935.62	N/A	1850.48	N/A	166796.58	85488.47	1832.51	156763.7	165124.43	1796.58	N/A	135861.88	188116.44	156763.7	1751.67	110779.68	110779.68	126665.07	N/A	1799.94
2/5/2024	DRG	3778	MS-DRG 270	OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC	270	IP					97783.91	63559.54	1751.67	97783.91	N/A	65515.22	3386.51	65515.22	N/A	62288.35	N/A	3386.51	62190.57	N/A	1850.48	N/A	78031.56	39993.62	1832.51	73337.93	77249.29	1796.58	N/A	63559.54	88005.52	73337.93	1751.67	51825.47	51825.47	59257.05	N/A	1799.94
2/5/2024	DRG	3779	MS-DRG 271	OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC	271	IP					129608.65	84245.62	1751.67	129608.65	N/A	86837.8	3386.51	86837.8	N/A	82560.71	N/A	3386.51	82431.1	N/A	1850.48	N/A	103427.7	53009.94	1832.51	97206.49	102390.83	1796.58	N/A	84245.62	116647.79	97206.49	1751.67	68692.58	68692.58	78542.84	N/A	1799.94
2/5/2024	DRG	3780	MS-DRG 272	OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC	272	IP					99807.25	64874.71	1751.67	99807.25	N/A	66870.86	3386.51	66870.86	N/A	63577.22	N/A	3386.51	63477.41	N/A	1850.48	N/A	79646.19	40821.17	1832.51	74855.44	78847.73	1796.58	N/A	64874.71	89826.52	74855.44	1751.67	52897.84	52897.84	60483.19	N/A	1799.94
2/5/2024	DRG	3781	MS-DRG 273	PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC	273	IP					117267.4	76223.81	1751.67	117267.4	N/A	78569.16	3386.51	78569.16	N/A	74699.33	N/A	3386.51	74582.07	N/A	1850.48	N/A	93579.39	47962.37	1832.51	87950.55	92641.25	1796.58	N/A	76223.81	105540.66	87950.55	1751.67	62151.72	62151.72	71064.04	N/A	1799.94
2/5/2024	DRG	3782	MS-DRG 274	PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC	274	IP					73360.01	47684.01	1751.67	73360.01	N/A	49151.21	3386.51	49151.21	N/A	46730.33	N/A	3386.51	46656.97	N/A	1850.48	N/A	58541.29	30004.24	1832.51	55020.01	57954.41	1796.58	N/A	47684.01	66024.01	55020.01	1751.67	38880.81	38880.81	44456.17	N/A	1799.94
2/5/2024	DRG	3783	MS-DRG 276	NON-MALIGANT BREAST DISORDERS	276	IP					70317.29	45706.24	1751.67	70317.29	N/A	47112.58	3386.51	47112.58	N/A	44792.11	N/A	3386.51	44721.8	N/A	1850.48	N/A	56113.2	28759.77	1832.51	52737.97	55550.66	1796.58	N/A	45706.24	63285.56	52737.97	1751.67	37268.16	37268.16	42612.28	N/A	1799.94
2/5/2024	DRG	3784	MS-DRG 277	CELLULITIS AGE >17 W CC	277	IP					232912	151392.8	1751.67	232912	N/A	156051.04	3386.51	156051.04	N/A	148364.94	N/A	3386.51	148132.03	N/A	1850.48	N/A	185863.78	95261.01	1832.51	174684	184000.48	1796.58	N/A	151392.8	209620.8	174684	1751.67	123443.36	123443.36	141144.67	N/A	1799.94
2/5/2024	DRG	3785	MS-DRG 278	CELLULITIS AGE >17 W/O CC	278	IP					14430.94	9380.11	1443.09	45434.33	N/A	9668.73	3386.51	9668.73	N/A	9192.51	N/A	3386.51	9178.08	N/A	1850.48	N/A	11515.89	5902.25	1832.51	10823.2	11400.44	1796.58	N/A	9380.11	12987.85	10823.2	1751.67	7648.4	7648.4	8745.15	N/A	1799.94
2/5/2024	DRG	3786	MS-DRG 279	CELLULITIS AGE 0-17	279	IP					21133.95	13737.07	1751.67	32470.69	N/A	14159.75	3386.51	14159.75	N/A	13462.33	N/A	3386.51	13441.19	N/A	1850.48	N/A	16864.89	8643.79	1832.51	15850.46	16695.82	1796.58	N/A	13737.07	19020.56	15850.46	1751.67	11200.99	11200.99	12807.17	N/A	1799.94
2/5/2024	DRG	3787	MS-DRG 280	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC"	280	IP					36022.5	23414.63	1751.67	36022.5	N/A	24135.07	3386.51	24135.07	N/A	22946.33	N/A	3386.51	22910.31	N/A	1850.48	N/A	28745.95	14733.2	1832.51	27016.87	28457.77	1796.58	N/A	23414.62	32420.25	27016.87	1751.67	19091.92	19091.92	21829.63	N/A	1799.94
2/5/2024	DRG	3788	MS-DRG 281	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC"	281	IP					38670.76	25135.99	1751.67	38670.76	N/A	25909.41	3386.51	25909.41	N/A	24633.27	N/A	3386.51	24594.6	N/A	1850.48	N/A	30859.27	15816.34	1832.51	29003.07	30549.9	1796.58	N/A	25135.99	34803.68	29003.07	1751.67	20495.5	20495.5	23434.48	N/A	1799.94
2/5/2024	DRG	3789	MS-DRG 282	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC"	282	IP					16815.1	10929.82	1681.51	16815.1	N/A	11266.12	3386.51	11266.12	N/A	10711.22	N/A	3386.51	10694.4	N/A	1850.48	N/A	13418.45	6877.38	1832.51	12611.32	13283.93	1796.58	N/A	10929.81	15133.59	12611.32	1751.67	8912	8912	10189.95	N/A	1799.94
2/5/2024	DRG	3790	MS-DRG 283	"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC"	283	IP					42013.14	27308.54	1751.67	42013.14	N/A	28148.8	3386.51	28148.8	N/A	26762.37	N/A	3386.51	26720.36	N/A	1850.48	N/A	33526.49	17183.37	1832.51	31509.85	33190.38	1796.58	N/A	27308.54	37811.83	31509.85	1751.67	22266.96	22266.96	25459.96	N/A	1799.94
2/5/2024	DRG	3791	MS-DRG 284	"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC"	284	IP					27554.45	17910.39	1751.67	27554.45	N/A	18461.48	3386.51	18461.48	N/A	17552.18	N/A	3386.51	17524.63	N/A	1850.48	N/A	21988.45	11269.77	1832.51	20665.84	21768.02	1796.58	N/A	17910.39	24799	20665.84	1751.67	14603.86	14603.86	16698	N/A	1799.94
2/5/2024	DRG	3792	MS-DRG 285	"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC"	285	IP					5503.15	3577.05	550.31	5503.15	N/A	3687.11	3386.51	3687.11	N/A	3505.51	N/A	3386.51	3500	N/A	1850.48	N/A	4391.51	2250.79	1832.51	4127.36	4347.49	1796.58	N/A	3577.05	4952.84	4127.36	1751.67	2916.67	2916.67	3334.91	N/A	1799.94
2/5/2024	DRG	3793	MS-DRG 286	"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC"	286	IP					87979.51	57186.68	1751.67	87979.51	N/A	58946.27	3386.51	58946.27	N/A	56042.95	N/A	3386.51	55954.97	N/A	1850.48	N/A	70207.65	35983.62	1832.51	65984.63	69503.81	1796.58	N/A	57186.68	79181.56	65984.63	1751.67	46629.14	46629.14	53315.58	N/A	1799.94
2/5/2024	DRG	3794	MS-DRG 287	"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC"	287	IP					37312.2	24252.93	1751.67	37312.2	N/A	24999.17	3386.51	24999.17	N/A	23767.87	N/A	3386.51	23730.56	N/A	1850.48	N/A	29775.14	15260.69	1832.51	27984.15	29476.64	1796.58	N/A	24252.93	33580.98	27984.15	1751.67	19775.47	19775.47	22611.19	N/A	1799.94
2/5/2024	DRG	3795	MS-DRG 288	ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC	288	IP					187723.59	122020.33	1751.67	187723.59	N/A	125774.81	3386.51	125774.81	N/A	119579.93	N/A	3386.51	119392.2	N/A	1850.48	N/A	149803.42	76778.95	1832.51	140792.69	148301.64	1796.58	N/A	122020.33	168951.23	140792.69	1751.67	99493.5	99493.5	113760.5	N/A	1799.94
2/5/2024	DRG	3796	MS-DRG 289	ACUTE AND SUBACUTE ENDOCARDITIS WITH CC	289	IP					66467.35	43203.78	1751.67	66467.35	N/A	44533.12	3386.51	44533.12	N/A	42339.7	N/A	3386.51	42273.23	N/A	1850.48	N/A	53040.95	27185.15	1832.51	49850.51	52509.21	1796.58	N/A	43203.78	59820.62	49850.51	1751.67	35227.7	35227.7	40279.21	N/A	1799.94
2/5/2024	DRG	3797	MS-DRG 290	ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC	290	IP					25901.01	16835.66	1751.67	25901.01	N/A	17353.68	3386.51	17353.68	N/A	16498.94	N/A	3386.51	16473.04	N/A	1850.48	N/A	20669.01	10593.51	1832.51	19425.76	20461.8	1796.58	N/A	16835.66	23310.91	19425.76	1751.67	13727.54	13727.54	15696.01	N/A	1799.94
2/5/2024	DRG	3798	MS-DRG 291	HEART FAILURE AND SHOCK WITH MCC	291	IP					34429.05	22378.88	1751.67	34429.05	N/A	23067.46	3386.51	23067.46	N/A	21931.3	N/A	3386.51	21896.88	N/A	1850.48	N/A	27474.38	14081.48	1832.51	25821.79	27198.95	1796.58	N/A	22378.88	30986.15	25821.79	1751.67	18247.4	18247.4	20864	N/A	1799.94
2/5/2024	DRG	3799	MS-DRG 292	HEART FAILURE AND SHOCK WITH CC	292	IP					42397.47	27558.36	1751.67	42397.47	N/A	28406.3	3386.51	28406.3	N/A	27007.19	N/A	3386.51	26964.79	N/A	1850.48	N/A	33833.18	17340.57	1832.51	31798.1	33494	1796.58	N/A	27558.36	38157.72	31798.1	1751.67	22470.66	22470.66	25692.87	N/A	1799.94
2/5/2024	DRG	3800	MS-DRG 293	HEART FAILURE AND SHOCK WITHOUT CC/MCC	293	IP					38586	25080.9	1751.67	38586	N/A	25852.62	3386.51	25852.62	N/A	24579.28	N/A	3386.51	24540.7	N/A	1850.48	N/A	30791.63	15781.67	1832.51	28939.5	30482.94	1796.58	N/A	25080.9	34727.4	28939.5	1751.67	20450.58	20450.58	23383.12	N/A	1799.94
2/5/2024	DRG	3801	MS-DRG 294	DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC	294	IP					17979.8	11686.87	1751.67	17979.8	N/A	12046.47	3386.51	12046.47	N/A	11453.13	N/A	3386.51	11435.15	N/A	1850.48	N/A	14347.88	7353.74	1832.51	13484.85	14204.04	1796.58	N/A	11686.87	16181.82	13484.85	1751.67	9529.29	9529.29	10895.76	N/A	1799.94
2/5/2024	DRG	3802	MS-DRG 295	DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC	295	IP					9867.9	6414.14	986.79	9867.9	N/A	6611.49	3386.51	6611.49	N/A	6285.85	N/A	3386.51	6275.98	N/A	1850.48	N/A	7874.58	4035.97	1832.51	7400.92	7795.64	1796.58	N/A	6414.14	8881.11	7400.92	1751.67	5229.99	5229.99	5979.95	N/A	1799.94
2/5/2024	DRG	3803	MS-DRG 296	"CARDIAC ARREST, UNEXPLAINED WITH MCC"	296	IP					55614.63	36149.51	1751.67	55614.63	N/A	37261.8	3386.51	37261.8	N/A	35426.52	N/A	3386.51	35370.9	N/A	1850.48	N/A	44380.47	22746.38	1832.51	41710.97	43935.56	1796.58	N/A	36149.51	50053.17	41710.97	1751.67	29475.75	29475.75	33702.47	N/A	1799.94
2/5/2024	DRG	3804	MS-DRG 297	"CARDIAC ARREST, UNEXPLAINED WITH CC"	297	IP					43220.87	28093.57	1751.67	43220.87	N/A	28957.98	3386.51	28957.98	N/A	27531.69	N/A	3386.51	27488.47	N/A	1850.48	N/A	34490.25	17677.34	1832.51	32415.65	34144.49	1796.58	N/A	28093.57	38898.78	32415.65	1751.67	22907.06	22907.06	26191.85	N/A	1799.94
2/5/2024	DRG	3805	MS-DRG 298	"CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC"	298	IP					76073.39	49447.7	1751.67	76073.39	N/A	50969.17	3386.51	50969.17	N/A	48458.75	N/A	3386.51	48382.68	N/A	1850.48	N/A	60706.57	31114.02	1832.51	57055.04	60097.98	1796.58	N/A	49447.7	68466.05	57055.04	1751.67	40318.9	40318.9	46100.47	N/A	1799.94
2/5/2024	DRG	3806	MS-DRG 299	PERIPHERAL VASCULAR DISORDERS WITH MCC	299	IP					33825.06	21986.29	1751.67	33825.06	N/A	22662.79	3386.51	22662.79	N/A	21546.56	N/A	3386.51	21512.74	N/A	1850.48	N/A	26992.4	13834.45	1832.51	25368.79	26721.8	1796.58	N/A	21986.29	30442.55	25368.79	1751.67	17927.28	17927.28	20497.99	N/A	1799.94
2/5/2024	DRG	3807	MS-DRG 300	PERIPHERAL VASCULAR DISORDERS WITH CC	300	IP					27068.61	17594.6	1751.67	27068.61	N/A	18135.97	3386.51	18135.97	N/A	17242.7	N/A	3386.51	17215.64	N/A	1850.48	N/A	21600.75	11071.06	1832.51	20301.46	21384.2	1796.58	N/A	17594.6	24361.75	20301.46	1751.67	14346.36	14346.36	16403.58	N/A	1799.94
2/5/2024	DRG	3808	MS-DRG 301	PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC	301	IP					7547.9	4906.14	754.79	7547.9	N/A	5057.09	3386.51	5057.09	N/A	4808.01	N/A	3386.51	4800.46	N/A	1850.48	N/A	6023.22	3087.09	1832.51	5660.93	5962.84	1796.58	N/A	4906.14	6793.11	5660.93	1751.67	4000.39	4000.39	4574.03	N/A	1799.94
2/5/2024	DRG	3809	MS-DRG 302	ATHEROSCLEROSIS WITH MCC	302	IP					20997.25	13648.21	1751.67	20997.25	N/A	14068.16	3386.51	14068.16	N/A	13375.25	N/A	3386.51	13354.25	N/A	1850.48	N/A	16755.81	8587.88	1832.51	15747.94	16587.83	1796.58	N/A	13648.21	18897.53	15747.94	1751.67	11128.54	11128.54	12724.33	N/A	1799.94
2/5/2024	DRG	3810	MS-DRG 303	ATHEROSCLEROSIS WITHOUT MCC	303	IP					84215.49	54740.07	1751.67	84215.49	N/A	56424.38	3386.51	56424.38	N/A	53645.27	N/A	3386.51	53561.05	N/A	1850.48	N/A	67203.96	34444.14	1832.51	63161.62	66530.24	1796.58	N/A	54740.07	75793.94	63161.62	1751.67	44634.21	44634.21	51034.59	N/A	1799.94
2/5/2024	DRG	3811	MS-DRG 304	HYPERTENSION WITH MCC	304	IP					22917.54	14896.4	1751.67	22917.54	N/A	15354.75	3386.51	15354.75	N/A	14598.47	N/A	3386.51	14575.56	N/A	1850.48	N/A	18288.2	9373.27	1832.51	17188.15	18104.86	1796.58	N/A	14896.4	20625.79	17188.15	1751.67	12146.3	12146.3	13888.03	N/A	1799.94
2/5/2024	DRG	3812	MS-DRG 305	HYPERTENSION WITHOUT MCC	305	IP					23822.82	15484.83	1751.67	23822.82	N/A	15961.29	3386.51	15961.29	N/A	15175.14	N/A	3386.51	15151.31	N/A	1850.48	N/A	19010.61	9743.53	1832.51	17867.12	18820.03	1796.58	N/A	15484.83	21440.54	17867.12	1751.67	12626.09	12626.09	14436.63	N/A	1799.94
2/5/2024	DRG	3813	MS-DRG 306	CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC	306	IP					28684.87	18645.17	1751.67	28684.87	N/A	19218.86	3386.51	19218.86	N/A	18272.26	N/A	3386.51	18243.58	N/A	1850.48	N/A	22890.53	11732.11	1832.51	21513.65	22661.05	1796.58	N/A	18645.17	25816.38	21513.65	1751.67	15202.98	15202.98	17383.03	N/A	1799.94
2/5/2024	DRG	3814	MS-DRG 307	CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC	307	IP					27261.84	17720.2	1751.67	27261.84	N/A	18265.43	3386.51	18265.43	N/A	17365.79	N/A	3386.51	17338.53	N/A	1850.48	N/A	21754.95	11150.09	1832.51	20446.38	21536.85	1796.58	N/A	17720.2	24535.66	20446.38	1751.67	14448.78	14448.78	16520.68	N/A	1799.94
2/5/2024	DRG	3815	MS-DRG 308	CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC	308	IP					9909.75	6441.34	990.98	11906.64	N/A	6639.53	3386.51	6639.53	N/A	6312.51	N/A	3386.51	6302.6	N/A	1850.48	N/A	7907.98	4053.09	1832.51	7432.31	7828.7	1796.58	N/A	6441.34	8918.77	7432.31	1751.67	5252.17	5252.17	6005.31	N/A	1799.94
