	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																													
2/15/2024	CDM	5586	47192538	HC ENG CAL TEST MONOTHERMAL  2 IRRIG		OP		92538	    	471	1953	1269.45	83.05	1953	89.69	1953	1509.67	139.48	1605.37	143.65	1605.37	1953	421.34	1953	139.48	421.34	139.48	976.5	1953	143.65	1953	822.21	898.38	1367.1	144.59	1367.1	937.44	84.71	414.04	1464.75	1015.56	135.99	468.72	468.72	1230.39	1562.4	139.48	135.82	816.35	1953	83.05	141.75
2/15/2024	CDM	5587	47192540	HC BASIC VESTIBULAR EVAL ALL INCL		IP		92540	    	471	1431	930.15	143.1	1431	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	715.5	N/A	N/A	N/A	613.9	708.35	N/A	N/A	N/A	686.88	N/A	N/A	1073.25	744.12	N/A	N/A	N/A	N/A	1144.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5588	47192540	HC BASIC VESTIBULAR EVAL ALL INCL		OP		92540	    	471	1431	930.15	83.05	1431	89.69	1431	1106.16	139.48	1176.28	143.65	1176.28	1431	421.34	1431	139.48	421.34	139.48	715.5	1431	143.65	1431	602.45	658.26	1001.7	144.59	1001.7	686.88	84.71	414.04	1073.25	744.12	135.99	343.44	343.44	901.53	1144.8	139.48	135.82	598.16	1431	83.05	141.75
2/15/2024	CDM	5589	47192541	HC ENG GAZE TEST		IP		92541	    	471	358	232.7	35.8	358	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	179	N/A	N/A	N/A	153.58	177.21	N/A	N/A	N/A	171.84	N/A	N/A	268.5	186.16	N/A	N/A	N/A	N/A	286.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5590	47192541	HC ENG GAZE TEST		OP		92541	    	471	358	232.7	35.8	465.14	73.34	358	276.73	114.07	294.28	117.48	294.28	358	344.55	358	114.07	344.55	114.07	179	358	117.48	358	150.72	164.68	250.6	118.24	250.6	171.84	69.27	330.59	268.5	186.16	111.22	85.92	85.92	225.54	286.4	114.07	111.07	149.64	358	67.91	115.92
2/15/2024	CDM	5591	47192542	HC ENG POSITIONAL TEST 4 POSITIONS		IP		92542	    	471	358	232.7	35.8	358	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	179	N/A	N/A	N/A	153.58	177.21	N/A	N/A	N/A	171.84	N/A	N/A	268.5	186.16	N/A	N/A	N/A	N/A	286.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5592	47192542	HC ENG POSITIONAL TEST 4 POSITIONS		OP		92542	    	471	358	232.7	35.8	465.14	73.34	358	276.73	114.07	294.28	117.48	294.28	358	344.55	358	114.07	344.55	114.07	179	358	117.48	358	150.72	164.68	250.6	118.24	250.6	171.84	69.27	330.59	268.5	186.16	111.22	85.92	85.92	225.54	286.4	114.07	111.07	149.64	358	67.91	115.92
2/15/2024	CDM	5593	47192544	HC OPTOKINETIC NYSTAGMUS TEST BIDIRECTIONAL		IP		92544	    	471	358	232.7	35.8	358	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	179	N/A	N/A	N/A	153.58	177.21	N/A	N/A	N/A	171.84	N/A	N/A	268.5	186.16	N/A	N/A	N/A	N/A	286.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5594	47192544	HC OPTOKINETIC NYSTAGMUS TEST BIDIRECTIONAL		OP		92544	    	471	358	232.7	35.8	568.8	89.69	358	276.73	139.48	294.28	143.65	294.28	358	421.34	358	139.48	421.34	139.48	179	358	143.65	358	150.72	164.68	250.6	144.59	250.6	171.84	84.71	414.04	268.5	186.16	135.99	85.92	85.92	225.54	286.4	139.48	135.82	149.64	358	83.05	141.75
2/15/2024	CDM	5595	47192545	HC OSCILLATING TRACKING TEST W RECORDING		IP		92545	    	471	358	232.7	35.8	358	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	179	N/A	N/A	N/A	153.58	177.21	N/A	N/A	N/A	171.84	N/A	N/A	268.5	186.16	N/A	N/A	N/A	N/A	286.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5596	47192545	HC OSCILLATING TRACKING TEST W RECORDING		OP		92545	    	471	358	232.7	35.8	1142.98	180.23	358	276.73	280.27	294.28	288.64	294.28	358	846.66	358	280.27	846.66	280.27	179	358	288.64	358	150.72	164.68	250.6	290.53	250.6	171.84	170.22	797.36	268.5	186.16	273.26	85.92	85.92	225.54	286.4	280.27	272.93	149.64	358	166.88	284.83
2/15/2024	CDM	5597	47192546	HC ROTATIONAL CHAIR		IP		92546	    	471	2489	1617.85	248.9	2489	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	1244.5	N/A	N/A	N/A	1067.78	1232.06	N/A	N/A	N/A	1194.72	N/A	N/A	1866.75	1294.28	N/A	N/A	N/A	N/A	1991.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5598	47192546	HC ROTATIONAL CHAIR		OP		92546	    	471	2489	1617.85	83.05	2489	89.69	2489	1924	139.48	2045.96	143.65	2045.96	2489	421.34	2489	139.48	421.34	139.48	1244.5	2489	143.65	2489	1047.87	1144.94	1742.3	144.59	1742.3	1194.72	84.71	414.04	1866.75	1294.28	135.99	597.36	597.36	1568.07	1991.2	139.48	135.82	1040.4	2489	83.05	141.75
2/15/2024	CDM	5599	47192547	HC ENG VERTICAL LEADS		IP		92547	    	471	358	232.7	35.8	358	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	179	N/A	N/A	N/A	153.58	177.21	N/A	N/A	N/A	171.84	N/A	N/A	268.5	186.16	N/A	N/A	N/A	N/A	286.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5600	47192547	HC ENG VERTICAL LEADS		OP		92547	    	471	358	232.7	35.8	358	N/A	358	276.73	N/A	294.28	N/A	294.28	358	N/A	358	N/A	N/A	N/A	179	358	N/A	358	150.72	164.68	250.6	N/A	250.6	171.84	N/A	136.76	268.5	186.16	N/A	85.92	85.92	225.54	286.4	N/A	358	149.64	358	N/A	N/A
2/15/2024	CDM	5601	47192548	HC POSTUROGRAPHY SOT ONLY		IP		92548	    	471	3233	2101.45	323.3	3233	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	1616.5	N/A	N/A	N/A	1386.96	1600.34	N/A	N/A	N/A	1551.84	N/A	N/A	2424.75	1681.16	N/A	N/A	N/A	N/A	2586.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5602	47192548	HC POSTUROGRAPHY SOT ONLY		OP		92548	    	471	3233	2101.45	67.91	3233	73.34	3233	2499.11	114.07	2657.53	117.48	2657.53	3233	344.55	3233	114.07	344.55	114.07	1616.5	3233	117.48	3233	1361.09	1487.18	2263.1	118.24	2263.1	1551.84	69.27	330.59	2424.75	1681.16	111.22	775.92	775.92	2036.79	2586.4	114.07	3233	1351.39	3233	67.91	115.92
2/15/2024	CDM	5603	47192549	HC POSTUROGRAPHY WITH MCT AND ADT		IP		92549	    	471	3233	2101.45	323.3	3233	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	1616.5	N/A	N/A	N/A	1386.96	1600.34	N/A	N/A	N/A	1551.84	N/A	N/A	2424.75	1681.16	N/A	N/A	N/A	N/A	2586.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5604	47192549	HC POSTUROGRAPHY WITH MCT AND ADT		OP		92549	    	471	3233	2101.45	67.91	3233	73.34	3233	2499.11	114.07	2657.53	117.48	2657.53	3233	344.55	3233	114.07	344.55	114.07	1616.5	3233	117.48	3233	1361.09	1487.18	2263.1	118.24	2263.1	1551.84	69.27	330.59	2424.75	1681.16	111.22	775.92	775.92	2036.79	2586.4	114.07	3233	1351.39	3233	67.91	115.92
2/15/2024	CDM	5605	47192550	HC TYMP AND REFLEX MEASUREMENTS		IP		92550	    	471	483	313.95	48.3	483	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	241.5	N/A	N/A	N/A	207.21	239.09	N/A	N/A	N/A	231.84	N/A	N/A	362.25	251.16	N/A	N/A	N/A	N/A	386.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5606	47192550	HC TYMP AND REFLEX MEASUREMENTS		OP		92550	    	471	483	313.95	48.3	568.8	89.69	483	373.36	139.48	397.03	143.65	397.03	483	421.34	483	139.48	421.34	139.48	241.5	483	143.65	483	203.34	222.18	338.1	144.59	338.1	231.84	84.71	414.04	362.25	251.16	135.99	115.92	115.92	304.29	386.4	139.48	135.82	201.89	483	83.05	141.75
2/15/2024	CDM	5607	47192551	HC HEARING SCREEN PURE TONE AIRON		IP		92551	    	471	102	66.3	10.2	102	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	51	N/A	N/A	N/A	43.76	50.49	N/A	N/A	N/A	48.96	N/A	N/A	76.5	53.04	N/A	N/A	N/A	N/A	81.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5608	47192551	HC HEARING SCREEN PURE TONE AIRON		OP		92551	    	471	102	66.3	7.67	102	8.28	102	78.85	24.48	83.84	N/A	83.84	102	N/A	102	N/A	N/A	N/A	51	102	N/A	102	42.94	46.92	71.4	N/A	71.4	48.96	7.82	35.8	76.5	53.04	N/A	24.48	24.48	64.26	81.6	N/A	10.62	42.64	102	7.67	N/A
2/15/2024	CDM	5609	47192552	HC PURE TONE AIR CONDUCTION		IP		92552	    	471	358	232.7	35.8	358	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	179	N/A	N/A	N/A	153.58	177.21	N/A	N/A	N/A	171.84	N/A	N/A	268.5	186.16	N/A	N/A	N/A	N/A	286.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5610	47192552	HC PURE TONE AIR CONDUCTION		OP		92552	    	471	358	232.7	35.8	465.14	73.34	358	276.73	114.07	294.28	117.48	294.28	358	344.55	358	114.07	344.55	114.07	179	358	117.48	358	150.72	164.68	250.6	118.24	250.6	171.84	69.27	330.59	268.5	186.16	111.22	85.92	85.92	225.54	286.4	114.07	111.07	149.64	358	67.91	115.92
2/15/2024	CDM	5611	47192553	HC PURE TONE AIRBONE CONDUCTION		IP		92553	    	471	397	258.05	39.7	397	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	198.5	N/A	N/A	N/A	170.31	196.51	N/A	N/A	N/A	190.56	N/A	N/A	297.75	206.44	N/A	N/A	N/A	N/A	317.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5612	47192553	HC PURE TONE AIRBONE CONDUCTION		OP		92553	    	471	397	258.05	39.7	568.8	89.69	397	306.88	139.48	326.33	143.65	326.33	397	421.34	397	139.48	421.34	139.48	198.5	397	143.65	397	167.14	182.62	277.9	144.59	277.9	190.56	84.71	414.04	297.75	206.44	135.99	95.28	95.28	250.11	317.6	139.48	135.82	165.95	397	83.05	141.75
2/15/2024	CDM	5613	47192555	HC SRT		IP		92555	    	471	238	154.7	23.8	238	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	119	N/A	N/A	N/A	102.1	117.81	N/A	N/A	N/A	114.24	N/A	N/A	178.5	123.76	N/A	N/A	N/A	N/A	190.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5614	47192555	HC SRT		OP		92555	    	471	238	154.7	23.8	238	35.12	238	183.97	54.62	195.64	56.26	195.64	238	164.98	238	54.62	164.98	54.62	119	238	56.26	238	100.2	109.48	166.6	56.62	166.6	114.24	33.17	163.65	178.5	123.76	53.25	57.12	57.12	149.94	190.4	54.62	53.19	99.48	238	32.52	55.51
2/15/2024	CDM	5615	47192556	HC SRT W RECOGNITION		IP		92556	    	471	358	232.7	35.8	358	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	179	N/A	N/A	N/A	153.58	177.21	N/A	N/A	N/A	171.84	N/A	N/A	268.5	186.16	N/A	N/A	N/A	N/A	286.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5616	47192556	HC SRT W RECOGNITION		OP		92556	    	471	358	232.7	32.52	358	35.12	358	276.73	54.62	294.28	56.26	294.28	358	164.98	358	54.62	164.98	54.62	179	358	56.26	358	150.72	164.68	250.6	56.62	250.6	171.84	33.17	163.65	268.5	186.16	53.25	85.92	85.92	225.54	286.4	54.62	53.19	149.64	358	32.52	55.51
2/15/2024	CDM	5617	47192557	HC AUDIOGRAM COMPLETE		IP		92557	    	471	694	451.1	69.4	694	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	347	N/A	N/A	N/A	297.73	343.53	N/A	N/A	N/A	333.12	N/A	N/A	520.5	360.88	N/A	N/A	N/A	N/A	555.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5618	47192557	HC AUDIOGRAM COMPLETE		OP		92557	    	471	694	451.1	69.4	694	89.69	694	536.46	139.48	570.47	143.65	570.47	694	421.34	694	139.48	421.34	139.48	347	694	143.65	694	292.17	319.24	485.8	144.59	485.8	333.12	84.71	414.04	520.5	360.88	135.99	166.56	166.56	437.22	555.2	139.48	135.82	290.09	694	83.05	141.75
2/15/2024	CDM	5619	47192558	HC EVOKED OTOACOUSTIC EMISS SCREEN		IP		92558	    	471	278	180.7	27.8	278	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	139	N/A	N/A	N/A	119.26	137.61	N/A	N/A	N/A	133.44	N/A	N/A	208.5	144.56	N/A	N/A	N/A	N/A	222.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5620	47192558	HC EVOKED OTOACOUSTIC EMISS SCREEN		OP		92558	    	471	278	180.7	27.8	278	N/A	278	214.89	66.72	228.52	N/A	228.52	278	N/A	278	N/A	N/A	N/A	139	278	N/A	278	117.04	127.88	194.6	N/A	194.6	133.44	N/A	97.58	208.5	144.56	N/A	66.72	66.72	175.14	222.4	N/A	31.27	116.2	278	N/A	N/A
2/15/2024	CDM	5621	47192565	HC STENGER TEST PURE TONE		IP		92565	    	471	353	229.45	35.3	353	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	176.5	N/A	N/A	N/A	151.44	174.73	N/A	N/A	N/A	169.44	N/A	N/A	264.75	183.56	N/A	N/A	N/A	N/A	282.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5622	47192565	HC STENGER TEST PURE TONE		OP		92565	    	471	353	229.45	32.52	353	35.12	353	272.87	54.62	290.17	56.26	290.17	353	164.98	353	54.62	164.98	54.62	176.5	353	56.26	353	148.61	162.38	247.1	56.62	247.1	169.44	33.17	163.65	264.75	183.56	53.25	84.72	84.72	222.39	282.4	54.62	53.19	147.55	353	32.52	55.51
2/15/2024	CDM	5623	47192567	HC TYMPANOMETRY		IP		92567	    	471	231	150.15	23.1	231	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	115.5	N/A	N/A	N/A	99.1	114.34	N/A	N/A	N/A	110.88	N/A	N/A	173.25	120.12	N/A	N/A	N/A	N/A	184.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5624	47192567	HC TYMPANOMETRY		OP		92567	    	471	231	150.15	21.32	231	23.03	231	178.56	35.81	189.88	36.88	189.88	231	108.18	231	35.81	108.18	35.81	115.5	231	36.88	231	97.25	106.26	161.7	37.12	161.7	110.88	21.75	96.69	173.25	120.12	34.91	55.44	55.44	145.53	184.8	35.81	34.87	96.56	231	21.32	36.39
2/15/2024	CDM	5625	47192568	HC ACOUSTIC REFLEX TESTING		IP		92568	    	471	238	154.7	23.8	238	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	119	N/A	N/A	N/A	102.1	117.81	N/A	N/A	N/A	114.24	N/A	N/A	178.5	123.76	N/A	N/A	N/A	N/A	190.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5626	47192568	HC ACOUSTIC REFLEX TESTING		OP		92568	    	471	238	154.7	21.32	238	23.03	238	183.97	35.81	195.64	36.88	195.64	238	108.18	238	35.81	108.18	35.81	119	238	36.88	238	100.2	109.48	166.6	37.12	166.6	114.24	21.75	96.69	178.5	123.76	34.91	57.12	57.12	149.94	190.4	35.81	34.87	99.48	238	21.32	36.39
2/15/2024	CDM	5627	47192570	HC ACOUSTIC IMMIT TEST ALL INCLSV		IP		92570	    	471	664	431.6	66.4	664	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	332	N/A	N/A	N/A	284.86	328.68	N/A	N/A	N/A	318.72	N/A	N/A	498	345.28	N/A	N/A	N/A	N/A	531.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5628	47192570	HC ACOUSTIC IMMIT TEST ALL INCLSV		OP		92570	    	471	664	431.6	66.4	664	89.69	664	513.27	139.48	545.81	143.65	545.81	664	421.34	664	139.48	421.34	139.48	332	664	143.65	664	279.54	305.44	464.8	144.59	464.8	318.72	84.71	414.04	498	345.28	135.99	159.36	159.36	418.32	531.2	139.48	135.82	277.55	664	83.05	141.75
2/15/2024	CDM	5629	47192579	HC VISUAL REINFORCEMENTBO AUDIOMETR		IP		92579	    	471	439	285.35	43.9	439	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	219.5	N/A	N/A	N/A	188.33	217.31	N/A	N/A	N/A	210.72	N/A	N/A	329.25	228.28	N/A	N/A	N/A	N/A	351.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5630	47192579	HC VISUAL REINFORCEMENTBO AUDIOMETR		OP		92579	    	471	439	285.35	43.9	568.8	89.69	439	339.35	139.48	360.86	143.65	360.86	439	421.34	439	139.48	421.34	139.48	219.5	439	143.65	439	184.82	201.94	307.3	144.59	307.3	210.72	84.71	414.04	329.25	228.28	135.99	105.36	105.36	276.57	351.2	139.48	135.82	183.5	439	83.05	141.75
2/15/2024	CDM	5631	47192582	HC CONDITIONING PLAY AUDIOMETRY		IP		92582	    	471	479	311.35	47.9	479	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	239.5	N/A	N/A	N/A	205.49	237.1	N/A	N/A	N/A	229.92	N/A	N/A	359.25	249.08	N/A	N/A	N/A	N/A	383.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5632	47192582	HC CONDITIONING PLAY AUDIOMETRY		OP		92582	    	471	479	311.35	47.9	568.8	89.69	479	370.27	139.48	393.74	143.65	393.74	479	421.34	479	139.48	421.34	139.48	239.5	479	143.65	479	201.66	220.34	335.3	144.59	335.3	229.92	84.71	414.04	359.25	249.08	135.99	114.96	114.96	301.77	383.2	139.48	135.82	200.22	479	83.05	141.75
2/15/2024	CDM	5633	47192584	HC ELECTROCOCHLEOGRAPHY		IP		92584	    	471	1386	900.9	138.6	1386	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	693	N/A	N/A	N/A	594.59	686.07	N/A	N/A	N/A	665.28	N/A	N/A	1039.5	720.72	N/A	N/A	N/A	N/A	1108.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5634	47192584	HC ELECTROCOCHLEOGRAPHY		OP		92584	    	471	1386	900.9	134.66	1386	N/A	1386	1071.38	139.48	1139.29	143.65	1139.29	1386	421.34	1386	139.48	421.34	139.48	693	1386	143.65	1386	583.51	637.56	970.2	144.59	970.2	665.28	N/A	414.04	1039.5	720.72	135.99	332.64	332.64	873.18	1108.8	139.48	135.82	579.35	1386	N/A	141.75
2/15/2024	CDM	5635	47192587	HC EVOKED OTOACOUSTIC EMISS LMTD		IP		92587	    	471	487	316.55	48.7	487	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	243.5	N/A	N/A	N/A	208.92	241.06	N/A	N/A	N/A	233.76	N/A	N/A	365.25	253.24	N/A	N/A	N/A	N/A	389.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5636	47192587	HC EVOKED OTOACOUSTIC EMISS LMTD		OP		92587	    	471	487	316.55	48.7	1142.98	180.23	487	376.45	280.27	400.31	288.64	400.31	487	846.66	487	280.27	846.66	280.27	243.5	487	288.64	487	205.03	224.02	340.9	290.53	340.9	233.76	170.22	797.36	365.25	253.24	273.26	116.88	116.88	306.81	389.6	280.27	272.93	203.57	487	166.88	284.83
2/15/2024	CDM	5637	47192588	HC EVOKED OTOACOUSTIC EMISS COMP		IP		92588	    	471	639	415.35	63.9	639	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	319.5	N/A	N/A	N/A	274.13	316.31	N/A	N/A	N/A	306.72	N/A	N/A	479.25	332.28	N/A	N/A	N/A	N/A	511.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5638	47192588	HC EVOKED OTOACOUSTIC EMISS COMP		OP		92588	    	471	639	415.35	63.9	1142.98	180.23	639	493.95	280.27	525.26	288.64	525.26	639	846.66	639	280.27	846.66	280.27	319.5	639	288.64	639	269.02	293.94	447.3	290.53	447.3	306.72	170.22	797.36	479.25	332.28	273.26	153.36	153.36	402.57	511.2	280.27	272.93	267.1	639	166.88	284.83
2/15/2024	CDM	5639	47192594	HC ELECTROACOU EVALMONO HEARING		IP		92594	    	471	109	70.85	10.9	109	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	54.5	N/A	N/A	N/A	46.76	53.95	N/A	N/A	N/A	52.32	N/A	N/A	81.75	56.68	N/A	N/A	N/A	N/A	87.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5640	47192594	HC ELECTROACOU EVALMONO HEARING		OP		92594	    	471	109	70.85	10.9	109	17.6	109	84.26	26.16	89.6	N/A	89.6	109	N/A	109	N/A	N/A	N/A	54.5	109	N/A	109	45.89	50.14	76.3	N/A	76.3	52.32	16.63	38.26	81.75	56.68	N/A	26.16	26.16	68.67	87.2	N/A	34.87	45.56	109	16.3	N/A
2/15/2024	CDM	5641	47192595	HC ELECTROACOU EVALBINAURAL HRNG		IP		92595	    	471	183	118.95	18.3	183	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	91.5	N/A	N/A	N/A	78.51	90.58	N/A	N/A	N/A	87.84	N/A	N/A	137.25	95.16	N/A	N/A	N/A	N/A	146.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5642	47192595	HC ELECTROACOU EVALBINAURAL HRNG		OP		92595	    	471	183	118.95	18.3	183	35.24	183	141.46	43.92	150.43	N/A	150.43	183	N/A	183	N/A	N/A	N/A	91.5	183	N/A	183	77.04	84.18	128.1	N/A	128.1	87.84	33.28	64.23	137.25	95.16	N/A	43.92	43.92	115.29	146.4	N/A	34.87	76.49	183	32.63	N/A
2/15/2024	CDM	5643	47192620	HC EVAL CAF W REPORT INITIAL 60 MIN		IP		92620	    	471	422	274.3	42.2	422	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	211	N/A	N/A	N/A	181.04	208.89	N/A	N/A	N/A	202.56	N/A	N/A	316.5	219.44	N/A	N/A	N/A	N/A	337.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5644	47192620	HC EVAL CAF W REPORT INITIAL 60 MIN		OP		92620	    	471	422	274.3	42.2	568.8	N/A	422	326.21	139.48	346.88	143.65	346.88	422	421.34	422	139.48	421.34	139.48	211	422	143.65	422	177.66	194.12	295.4	144.59	295.4	202.56	N/A	414.04	316.5	219.44	135.99	101.28	101.28	265.86	337.6	139.48	135.82	176.4	422	N/A	141.75
2/15/2024	CDM	5645	47192621	HC EVAL CAF W REPORT EA ADDL 15 MIN		IP		92621	    	471	112	72.8	11.2	112	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	56	N/A	N/A	N/A	48.05	55.44	N/A	N/A	N/A	53.76	N/A	N/A	84	58.24	N/A	N/A	N/A	N/A	89.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5646	47192621	HC EVAL CAF W REPORT EA ADDL 15 MIN		OP		92621	    	471	112	72.8	11.2	112	N/A	112	86.58	N/A	92.06	N/A	92.06	112	N/A	112	N/A	N/A	N/A	56	112	N/A	112	47.15	51.52	78.4	N/A	78.4	53.76	N/A	42.78	84	58.24	N/A	26.88	26.88	70.56	89.6	N/A	112	46.82	112	N/A	N/A
2/15/2024	CDM	5647	47192622	HC DX ALY AUD OI SND PRCSR 1ST 60 MIN		IP		92622	    	471	410	266.5	41	410	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	205	N/A	N/A	N/A	175.89	202.95	N/A	N/A	N/A	196.8	N/A	N/A	307.5	213.2	N/A	N/A	N/A	N/A	328	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5648	47192622	HC DX ALY AUD OI SND PRCSR 1ST 60 MIN		OP		92622	    	471	410	266.5	41	568.8	89.69	410	316.93	139.48	337.02	143.65	337.02	410	421.34	410	139.48	421.34	139.48	205	410	143.65	410	172.61	188.6	287	144.59	287	196.8	84.71	414.04	307.5	213.2	135.99	98.4	98.4	258.3	328	139.48	135.82	171.38	410	83.05	141.75
2/15/2024	CDM	5649	47192623	HC DX ALY AUD OI SND PRCSR EA ADL 15 MIN		IP		92623	    	471	112	72.8	11.2	112	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	56	N/A	N/A	N/A	48.05	55.44	N/A	N/A	N/A	53.76	N/A	N/A	84	58.24	N/A	N/A	N/A	N/A	89.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5650	47192623	HC DX ALY AUD OI SND PRCSR EA ADL 15 MIN		OP		92623	    	471	112	72.8	11.2	112	N/A	112	86.58	N/A	92.06	N/A	92.06	112	N/A	112	N/A	N/A	N/A	56	112	N/A	112	47.15	51.52	78.4	N/A	78.4	53.76	N/A	39.31	84	58.24	N/A	26.88	26.88	70.56	89.6	N/A	112	46.82	112	N/A	N/A
2/15/2024	CDM	5651	47192625	HC ASSESSMENT OF TINNITUS		IP		92625	    	471	223	144.95	22.3	223	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	111.5	N/A	N/A	N/A	95.67	110.39	N/A	N/A	N/A	107.04	N/A	N/A	167.25	115.96	N/A	N/A	N/A	N/A	178.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	5652	47192625	HC ASSESSMENT OF TINNITUS		OP		92625	    	471	223	144.95	22.3	568.8	89.69	223	172.38	139.48	183.31	143.65	183.31	223	421.34	223	139.48	421.34	139.48	111.5	223	143.65	223	93.88	102.58	156.1	144.59	156.1	107.04	84.71	414.04	167.25	115.96	135.99	53.52	53.52	140.49	178.4	139.48	135.82	93.21	223	83.05	141.75
