	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																						
2/15/2024	CDM	3547	39009016	HC RED BLOOD CELLS LEUKOREDUCED		OP		P9016	    	390	1658	1077.7	100.9	1658	108.97	1658	1281.63	177.93	1346.3	183.24	1362.88	1658	605.87	1658	177.93	605.87	1658	183.24	1658	936.77	742.78	829	1160.6	181.49	795.84	102.92	681.55	1243.5	862.16	173.48	513.98	171.78	766	1658	180.82
2/15/2024	CDM	3548	39009017	HC FFP EA UNIT		IP		P9017	    	390	329	213.85	32.9	329	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	176.67	147.39	207.27	N/A	N/A	157.92	N/A	N/A	246.75	171.08	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3549	39009017	HC FFP EA UNIT		OP		P9017	    	390	329	213.85	32.9	329	48.19	329	254.32	78.68	267.15	81.03	270.44	329	267.93	329	78.68	267.93	329	81.03	329	185.88	147.39	164.5	230.3	80.25	157.92	45.51	307.85	246.75	171.08	76.71	101.99	75.96	152	329	79.96
2/15/2024	CDM	3550	39009019	HC PLATELETS EACH UNIT		IP		P9019	    	390	818	531.7	81.8	818	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	439.27	366.46	515.34	N/A	N/A	392.64	N/A	N/A	613.5	425.36	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3551	39009019	HC PLATELETS EACH UNIT		OP		P9019	    	390	818	531.7	36.29	818	39.19	818	632.31	64	664.22	65.91	672.4	818	217.92	818	64	217.92	818	65.91	818	462.17	366.46	409	572.6	65.28	392.64	37.02	278.19	613.5	425.36	62.4	253.58	61.79	377.92	818	65.04
2/15/2024	CDM	3552	39009022	HC WASHED RED BLOOD CELLS		IP		P9022	    	390	2814	1829.1	281.4	2814	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	1511.12	1260.67	1772.82	N/A	N/A	1350.72	N/A	N/A	2110.5	1463.28	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3553	39009022	HC WASHED RED BLOOD CELLS		OP		P9022	    	390	2814	1829.1	221.59	2814	239.32	2814	2175.22	390.77	2284.97	402.44	2313.11	2814	1330.64	2814	390.77	1330.64	2814	402.44	2814	1589.91	1260.67	1407	1969.8	398.59	1350.72	226.02	1425.61	2110.5	1463.28	381	872.34	377.26	1300.07	2814	397.12
2/15/2024	CDM	3554	39009035	HC PLATELETS PHERESIS LR		IP		P9035	    	390	3675	2388.75	367.5	3675	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	1973.48	1646.4	2315.25	N/A	N/A	1764	N/A	N/A	2756.25	1911	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3555	39009035	HC PLATELETS PHERESIS LR		OP		P9035	    	390	3675	2388.75	263.56	3675	284.64	3675	2840.78	464.77	2984.1	478.66	3020.85	3675	1582.65	3675	464.77	1582.65	3675	478.66	3675	2076.38	1646.4	1837.5	2572.5	474.07	1764	268.83	1749.37	2756.25	1911	453.15	1139.25	448.71	1697.85	3675	472.33
2/15/2024	CDM	3556	39009037	HC PLATELETS PHERESIS LR IR		IP		P9037	    	390	4038	2624.7	403.8	4038	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	2168.41	1809.02	2543.94	N/A	N/A	1938.24	N/A	N/A	3028.5	2099.76	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3557	39009037	HC PLATELETS PHERESIS LR IR		OP		P9037	    	390	4038	2624.7	375.24	4038	405.26	4038	3121.37	661.72	3278.86	681.49	3319.24	4038	2253.28	4038	661.72	2253.28	4038	681.49	4038	2281.47	1809.02	2019	2826.6	674.95	1938.24	382.74	2298.78	3028.5	2099.76	645.18	1251.78	638.86	1865.56	4038	672.48
2/15/2024	CDM	3558	39009040	HC RED BLOOD CELLS LR IR UNIT		IP		P9040	    	390	1517	986.05	151.7	1517	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	814.63	679.62	955.71	N/A	N/A	728.16	N/A	N/A	1137.75	788.84	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3559	39009040	HC RED BLOOD CELLS LR IR UNIT		OP		P9040	    	390	1517	986.05	140.88	1517	152.15	1517	1172.64	248.44	1231.8	255.86	1246.97	1517	845.99	1517	248.44	845.99	1517	255.86	1517	857.1	679.62	758.5	1061.9	253.41	728.16	143.7	933.35	1137.75	788.84	242.23	470.27	239.86	700.85	1517	252.48
2/15/2024	CDM	3560	39009044	HC PLASMA CRYO REDUCED EACH UNIT		IP		P9044	    	390	672	436.8	67.2	672	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	360.86	301.06	423.36	N/A	N/A	322.56	N/A	N/A	504	349.44	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3561	39009044	HC PLASMA CRYO REDUCED EACH UNIT		OP		P9044	    	390	672	436.8	38.59	672	41.68	672	519.46	68.04	545.66	70.07	552.38	672	231.68	672	68.04	231.68	672	70.07	672	379.68	301.06	336	470.4	69.4	322.56	39.36	248.17	504	349.44	66.34	208.32	65.69	310.46	672	69.15
2/15/2024	CDM	3562	39009059	HC PLASMA FROZEN 24 HR		IP		P9059	    	390	464	301.6	46.4	464	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	249.17	207.87	292.32	N/A	N/A	222.72	N/A	N/A	348	241.28	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3563	39009059	HC PLASMA FROZEN 24 HR		OP		P9059	    	390	464	301.6	40.49	464	43.73	464	358.67	71.41	376.77	73.55	381.41	464	243.16	464	71.41	243.16	464	73.55	464	262.16	207.87	232	324.8	72.84	222.72	41.3	274.46	348	241.28	69.62	143.84	68.94	214.37	464	72.57
2/15/2024	CDM	3564	39009073	HC PLATELETS PHERESIS PATHOGENREDUCED EACH		IP		P9073	    	390	5464	3551.6	546.4	5464	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	2934.17	2447.87	3442.32	N/A	N/A	2622.72	N/A	N/A	4098	2841.28	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3565	39009073	HC PLATELETS PHERESIS PATHOGENREDUCED EACH		OP		P9073	    	390	5464	3551.6	523.72	5464	N/A	5464	4223.67	542.46	4436.77	558.67	4491.41	5464	1847.18	5464	542.46	1847.18	5464	558.67	5464	3087.16	2447.87	2732	3824.8	553.31	2622.72	N/A	2081.57	4098	2841.28	528.9	1693.84	523.72	2524.37	5464	551.28
2/15/2024	CDM	3566	39019507	HC COVID19 CONVALESCENT PLASMA		IP		C9507	    	390	1639	1065.35	163.9	1639	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	880.14	734.27	1032.57	N/A	N/A	786.72	N/A	N/A	1229.25	852.28	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3567	39019507	HC COVID19 CONVALESCENT PLASMA		OP		C9507	    	390	1639	1065.35	163.9	2628.8	295.37	1639	1266.95	482.29	1330.87	496.69	1347.26	1639	1642.29	1639	482.29	1642.29	1639	496.69	1639	926.03	734.27	819.5	1147.3	491.94	786.72	278.96	2628.8	1229.25	852.28	470.23	508.09	465.62	757.22	1639	490.13
2/15/2024	CDM	3568	39086971	HC PRETREAT W ENZYMESCELL		IP		86971	    	390	1948	1266.2	194.8	1948	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	1046.08	872.7	1227.24	N/A	N/A	935.04	N/A	N/A	1461	1012.96	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3569	39086971	HC PRETREAT W ENZYMESCELL		OP		86971	    	390	1948	1266.2	90.81	1948	98.07	1948	1505.8	145.75	1581.78	150.1	1601.26	1948	545.29	1948	145.75	545.29	1948	150.1	1948	162.61	872.7	974	1363.6	148.66	935.04	92.63	566.43	1461	1012.96	142.11	603.88	140.79	899.98	1948	148.12
2/15/2024	CDM	3570	39136430	HC BLOOD ADMINISTRATION		IP		36430	    	391	1403	911.95	140.3	1403	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	753.41	628.54	883.89	N/A	N/A	673.44	N/A	N/A	1052.25	729.56	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3571	39136430	HC BLOOD ADMINISTRATION		OP		36430	    	391	1403	911.95	140.3	2782.5	249.25	1403	2700	370.44	2836.5	381.5	2743.5	1403	1385.89	1403	370.44	1385.89	1403	381.5	1403	792.69	628.54	1403	982.1	377.85	673.44	235.41	1468.74	1052.25	729.56	361.18	434.93	357.83	648.19	1403	376.46
2/15/2024	CDM	3572	40177061	HC TOMOSYNTHESIS DIAGNOSTIC UNI		IP		77061	    	401	65	42.25	6.5	65	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	34.91	29.12	40.95	N/A	N/A	31.2	N/A	N/A	48.75	33.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3573	40177061	HC TOMOSYNTHESIS DIAGNOSTIC UNI		OP		77061	    	401	65	42.25	6.5	265.44	N/A	65	65	11.05	65	N/A	65	65	N/A	65	N/A	N/A	65	N/A	65	265.44	29.12	32.5	45.5	N/A	31.2	N/A	26	48.75	33.8	N/A	20.15	61.75	N/A	65	N/A
2/15/2024	CDM	3574	40177062	HC TOMOSYNTHESIS DIAGNOSTIC BILAT		IP		77062	    	401	65	42.25	6.5	65	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	34.91	29.12	40.95	N/A	N/A	31.2	N/A	N/A	48.75	33.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3575	40177062	HC TOMOSYNTHESIS DIAGNOSTIC BILAT		OP		77062	    	401	65	42.25	6.5	338.33	N/A	65	65	11.05	65	N/A	65	65	N/A	65	N/A	N/A	65	N/A	65	338.33	29.12	32.5	45.5	N/A	31.2	N/A	26	48.75	33.8	N/A	20.15	61.75	N/A	65	N/A
2/15/2024	CDM	3576	40177065	HC MAMM DIAGNOSTIC UNILATERAL W CAD		IP		77065	    	401	534	347.1	53.4	534	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	286.76	239.23	336.42	N/A	N/A	256.32	N/A	N/A	400.5	277.68	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3577	40177065	HC MAMM DIAGNOSTIC UNILATERAL W CAD		OP		77065	    	401	534	347.1	43.63	534	47.12	534	266.23	76.94	280.66	79.25	266.23	534	78.19	534	76.94	78.19	534	79.25	534	265.44	239.23	267	373.8	78.48	256.32	44.5	155.12	400.5	277.68	75.02	165.54	76.98	145.08	534	78.19
2/15/2024	CDM	3578	40177066	HC MAMM DIAGNOSTIC BILATERAL W CAD		IP		77066	    	401	658	427.7	65.8	658	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	353.35	294.78	414.54	N/A	N/A	315.84	N/A	N/A	493.5	342.16	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3579	40177066	HC MAMM DIAGNOSTIC BILATERAL W CAD		OP		77066	    	401	658	427.7	55.97	658	60.45	658	340.33	98.7	358.78	101.67	340.33	658	100.31	658	98.7	100.31	658	101.67	658	338.33	294.78	329	460.6	100.67	315.84	57.09	197.72	493.5	342.16	96.23	203.98	98.12	185.35	658	100.31
2/15/2024	CDM	3580	40275989	HC US GUID ABSCESS DRAIN		IP		75989	    	402	966	627.9	96.6	966	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	518.74	432.77	608.58	N/A	N/A	463.68	N/A	N/A	724.5	502.32	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3581	40275989	HC US GUID ABSCESS DRAIN		OP		75989	    	402	966	627.9	96.6	966	N/A	966	195.88	N/A	206.5	N/A	195.88	966	N/A	966	N/A	N/A	966	N/A	966	545.79	432.77	483	676.2	N/A	463.68	N/A	395.09	724.5	502.32	N/A	299.46	966	N/A	966	N/A
2/15/2024	CDM	3582	40276506	HC US ENCEPHALOGRAPHYCRANIAL		IP		76506	    	402	816	530.4	81.6	816	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	438.19	365.57	514.08	N/A	N/A	391.68	N/A	N/A	612	424.32	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3583	40276506	HC US ENCEPHALOGRAPHYCRANIAL		OP		76506	    	402	816	530.4	58.45	816	63.13	816	257.1	93.81	271.04	96.62	257.1	816	351	816	93.81	351	816	96.62	816	322.67	365.57	408	571.2	95.69	391.68	59.62	384.98	612	424.32	91.46	252.96	90.62	207.24	816	95.34
2/15/2024	CDM	3584	40276536	HC US SOFT TISS HEADNECK		IP		76536	    	402	1017	661.05	101.7	1017	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	546.13	455.62	640.71	N/A	N/A	488.16	N/A	N/A	762.75	528.84	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3585	40276536	HC US SOFT TISS HEADNECK		OP		76536	    	402	1017	661.05	58.45	1017	63.13	1017	265.2	93.81	279.58	96.62	265.2	1017	351	1017	93.81	351	1017	96.62	1017	322.67	455.62	508.5	711.9	95.69	488.16	59.62	384.98	762.75	528.84	91.46	315.27	90.62	207.24	1017	95.34
2/15/2024	CDM	3586	40276604	HC US CHEST		IP		76604	    	402	982	638.3	98.2	982	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	527.33	439.94	618.66	N/A	N/A	471.36	N/A	N/A	736.5	510.64	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3587	40276604	HC US CHEST		OP		76604	    	402	982	638.3	58.45	982	63.13	982	115.97	93.81	122.26	96.62	115.97	982	351	982	93.81	351	982	96.62	982	322.67	439.94	491	687.4	95.69	471.36	59.62	384.98	736.5	510.64	91.46	304.42	90.62	207.24	982	95.34
2/15/2024	CDM	3588	40276642	HC US BREAST LIMITED UNILAT		IP		76642	    	402	760	494	76	760	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	408.12	340.48	478.8	N/A	N/A	364.8	N/A	N/A	570	395.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3589	40276642	HC US BREAST LIMITED UNILAT		OP		76642	    	402	760	494	48.31	760	52.17	760	162.65	77.54	171.46	79.85	162.65	760	290.1	760	77.54	290.1	760	79.85	760	239.72	340.48	380	532	79.09	364.8	49.28	312.94	570	395.2	75.6	235.6	74.9	141.16	760	78.8
2/15/2024	CDM	3590	40276700	HC US ABDOMEN COMPLETE		IP		76700	    	402	1311	852.15	131.1	1311	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	704.01	587.33	825.93	N/A	N/A	629.28	N/A	N/A	983.25	681.72	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3591	40276700	HC US ABDOMEN COMPLETE		OP		76700	    	402	1311	852.15	58.45	1311	63.13	1311	246.94	93.81	260.33	96.62	246.94	1311	351	1311	93.81	351	1311	96.62	1311	322.67	587.33	655.5	917.7	95.69	629.28	59.62	384.98	983.25	681.72	91.46	406.41	90.62	207.24	1311	95.34
2/15/2024	CDM	3592	40276705	HC US ABDOMEN LMTD		IP		76705	    	402	1311	852.15	131.1	1311	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	704.01	587.33	825.93	N/A	N/A	629.28	N/A	N/A	983.25	681.72	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3593	40276705	HC US ABDOMEN LMTD		OP		76705	    	402	1311	852.15	58.45	1311	63.13	1311	186.02	93.81	196.1	96.62	186.02	1311	351	1311	93.81	351	1311	96.62	1311	322.67	587.33	655.5	917.7	95.69	629.28	59.62	384.98	983.25	681.72	91.46	406.41	90.62	207.24	1311	95.34
2/15/2024	CDM	3594	40276706	HC US ABD AORTA FOR AAA SCREENING		IP		76706	    	402	447	290.55	44.7	447	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	240.04	200.26	281.61	N/A	N/A	214.56	N/A	N/A	335.25	232.44	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3595	40276706	HC US ABD AORTA FOR AAA SCREENING		OP		76706	    	402	447	290.55	44.7	447	63.13	447	246.94	93.43	260.33	96.24	246.94	447	351	447	93.43	351	447	96.24	447	322.67	200.26	223.5	312.9	95.3	214.56	59.62	384.98	335.25	232.44	91.09	138.57	90.62	173.54	447	95.34
2/15/2024	CDM	3596	40276770	HC US RETROPERITONEAL COMPLETE		IP		76770	    	402	1311	852.15	131.1	1311	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	704.01	587.33	825.93	N/A	N/A	629.28	N/A	N/A	983.25	681.72	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3597	40276770	HC US RETROPERITONEAL COMPLETE		OP		76770	    	402	1311	852.15	58.45	1311	63.13	1311	229.68	93.81	242.13	96.62	229.68	1311	351	1311	93.81	351	1311	96.62	1311	322.67	587.33	655.5	917.7	95.69	629.28	59.62	384.98	983.25	681.72	91.46	406.41	90.62	207.24	1311	95.34
2/15/2024	CDM	3598	40276775	HC US RETROPERITONEAL LMTD		IP		76775	    	402	1311	852.15	131.1	1311	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	704.01	587.33	825.93	N/A	N/A	629.28	N/A	N/A	983.25	681.72	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3599	40276775	HC US RETROPERITONEAL LMTD		OP		76775	    	402	1311	852.15	58.45	1311	63.13	1311	90.57	93.81	95.48	96.62	90.57	1311	351	1311	93.81	351	1311	96.62	1311	322.67	587.33	655.5	917.7	95.69	629.28	59.62	384.98	983.25	681.72	91.46	406.41	90.62	207.24	1311	95.34
2/15/2024	CDM	3600	40276776	HC US TRANSPLANTED KIDNEY		IP		76776	    	402	1311	852.15	131.1	1311	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	704.01	587.33	825.93	N/A	N/A	629.28	N/A	N/A	983.25	681.72	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3601	40276776	HC US TRANSPLANTED KIDNEY		OP		76776	    	402	1311	852.15	58.45	1311	63.13	1311	354.78	93.81	374.01	96.62	354.78	1311	351	1311	93.81	351	1311	96.62	1311	322.67	587.33	655.5	917.7	95.69	629.28	59.62	384.98	983.25	681.72	91.46	406.41	90.62	207.24	1311	95.34
2/15/2024	CDM	3602	40276800	HC US SPINAL CANAL AND CONTENTS		IP		76800	    	402	948	616.2	94.8	948	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	509.08	424.7	597.24	N/A	N/A	455.04	N/A	N/A	711	492.96	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3603	40276800	HC US SPINAL CANAL AND CONTENTS		OP		76800	    	402	948	616.2	58.45	948	63.13	948	255.04	93.81	268.87	96.62	255.04	948	351	948	93.81	351	948	96.62	948	322.67	424.7	474	663.6	95.69	455.04	59.62	384.98	711	492.96	91.46	293.88	90.62	138.68	948	95.34
2/15/2024	CDM	3604	40276801	HC US PREG 14 WKS SNGL TRANSAB		IP		76801	    	402	769	499.85	76.9	769	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	412.95	344.51	484.47	N/A	N/A	369.12	N/A	N/A	576.75	399.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3605	40276801	HC US PREG 14 WKS SNGL TRANSAB		OP		76801	    	402	769	499.85	58.45	769	63.13	769	219.52	93.81	231.42	96.62	219.52	769	351	769	93.81	351	769	96.62	769	322.67	344.51	384.5	538.3	95.69	369.12	59.62	384.98	576.75	399.88	91.46	238.39	90.62	207.24	769	95.34
2/15/2024	CDM	3606	40276802	HC US PREG 14 WKS EA ADD TRANSAB		IP		76802	    	402	456	296.4	45.6	456	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	244.87	204.29	287.28	N/A	N/A	218.88	N/A	N/A	342	237.12	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3607	40276802	HC US PREG 14 WKS EA ADD TRANSAB		OP		76802	    	402	456	296.4	45.6	456	N/A	456	66	N/A	69.58	N/A	66	456	N/A	456	N/A	N/A	456	N/A	456	257.64	204.29	228	319.2	N/A	218.88	N/A	186.5	342	237.12	N/A	141.36	456	0	456	N/A
2/15/2024	CDM	3608	40276805	HC US PREG 14WKS SNGL TRANSAB		IP		76805	    	402	670	435.5	67	670	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	359.79	300.16	422.1	N/A	N/A	321.6	N/A	N/A	502.5	348.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3609	40276805	HC US PREG 14WKS SNGL TRANSAB		OP		76805	    	402	670	435.5	58.45	670	63.13	670	274.36	93.81	289.24	96.62	274.36	670	351	670	93.81	351	670	96.62	670	322.67	300.16	335	469	95.69	321.6	59.62	384.98	502.5	348.4	91.46	207.7	90.62	207.24	670	95.34
2/15/2024	CDM	3610	40276810	HC US PREG 14WKS EA ADD TRANSAB		IP		76810	    	402	586	380.9	58.6	586	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	314.68	262.53	369.18	N/A	N/A	281.28	N/A	N/A	439.5	304.72	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3611	40276810	HC US PREG 14WKS EA ADD TRANSAB		OP		76810	    	402	586	380.9	58.6	586	N/A	586	130.18	N/A	137.24	N/A	130.18	586	N/A	586	N/A	N/A	586	N/A	586	331.09	262.53	293	410.2	N/A	281.28	N/A	239.67	439.5	304.72	N/A	181.66	586	0	586	N/A
2/15/2024	CDM	3612	40276811	HC US PREG DETAILED ANATOMIC EV		IP		76811	    	402	790	513.5	79	790	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	424.23	353.92	497.7	N/A	N/A	379.2	N/A	N/A	592.5	410.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3613	40276811	HC US PREG DETAILED ANATOMIC EV		OP		76811	    	402	790	513.5	79	841.14	140.7	790	251.19	209.1	264.81	215.35	251.19	790	782.28	790	209.1	782.28	790	215.35	790	681.94	353.92	395	553	213.28	379.2	132.89	841.14	592.5	410.8	203.87	244.9	201.98	293.89	790	212.5
2/15/2024	CDM	3614	40276813	HC OB US NUCHAL MEAS TATV 1ST GEST		IP		76813	    	402	656	426.4	65.6	656	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	352.27	293.89	413.28	N/A	N/A	314.88	N/A	N/A	492	341.12	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3615	40276813	HC OB US NUCHAL MEAS TATV 1ST GEST		OP		76813	    	402	656	426.4	58.45	656	63.13	656	193.12	93.81	203.6	96.62	193.12	656	351	656	93.81	351	656	96.62	656	322.67	293.89	328	459.2	95.69	314.88	59.62	384.98	492	341.12	91.46	203.36	90.62	207.24	656	95.34
2/15/2024	CDM	3616	40276815	HC US PREG LMTD 1 OR  FETUS		IP		76815	    	402	551	358.15	55.1	551	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	295.89	246.85	347.13	N/A	N/A	264.48	N/A	N/A	413.25	286.52	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3617	40276815	HC US PREG LMTD 1 OR  FETUS		OP		76815	    	402	551	358.15	55.1	551	63.13	551	156.57	93.81	165.06	96.62	156.57	551	351	551	93.81	351	551	96.62	551	322.67	246.85	275.5	385.7	95.69	264.48	59.62	384.98	413.25	286.52	91.46	170.81	90.62	207.24	551	95.34
2/15/2024	CDM	3618	40276816	HC US PREG TRANSABD FU PER FETUS		IP		76816	    	402	434	282.1	43.4	434	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	233.06	194.43	273.42	N/A	N/A	208.32	N/A	N/A	325.5	225.68	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3619	40276816	HC US PREG TRANSABD FU PER FETUS		OP		76816	    	402	434	282.1	43.4	434	63.13	434	215.47	93.81	227.15	96.62	215.47	434	351	434	93.81	351	434	96.62	434	322.67	194.43	217	303.8	95.69	208.32	59.62	384.98	325.5	225.68	91.46	134.54	90.62	138.68	434	95.34
2/15/2024	CDM	3620	40276817	HC US OB TRANSVAGINAL		IP		76817	    	402	576	374.4	57.6	576	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	309.31	258.05	362.88	N/A	N/A	276.48	N/A	N/A	432	299.52	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3621	40276817	HC US OB TRANSVAGINAL		OP		76817	    	402	576	374.4	57.6	576	63.13	576	177.89	93.81	187.53	96.62	177.89	576	351	576	93.81	351	576	96.62	576	322.67	258.05	288	403.2	95.69	276.48	59.62	384.98	432	299.52	91.46	178.56	90.62	207.24	576	95.34
2/15/2024	CDM	3622	40276819	HC US BIOPHY PROFIL FETUS WO NST		IP		76819	    	402	843	547.95	84.3	843	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	452.69	377.66	531.09	N/A	N/A	404.64	N/A	N/A	632.25	438.36	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	3623	40276819	HC US BIOPHY PROFIL FETUS WO NST		OP		76819	    	402	843	547.95	58.45	843	63.13	843	145.38	93.81	153.26	96.62	145.38	843	351	843	93.81	351	843	96.62	843	322.67	377.66	421.5	590.1	95.69	404.64	59.62	384.98	632.25	438.36	91.46	261.33	90.62	207.24	843	95.34
2/15/2024	CDM	3624	40276820	HC US VELOMTRY FETAL UMBILICAL ART		IP		76820	    	402	209	135.85	20.9	209	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	112.23	93.63	131.67	N/A	N/A	100.32	N/A	N/A	156.75	108.68	N/A	N/A	N/A	N/A	N/A	N/A
