	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																									
2/15/2024	DRG	3818	MS-DRG 210	HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE >17 W CC	210	IP					45267.84	29424.1	1125	45267.84	N/A	1125	N/A	N/A	1125	N/A	N/A	N/A	N/A	N/A	N/A	N/A	31551.68	26345.88	N/A	30329.45	31234.81	N/A	N/A	N/A	N/A	N/A	40741.06	1150	N/A	19465.17	19465.17	N/A	N/A	2646	N/A	N/A	N/A	N/A
2/15/2024	DRG	3819	MS-DRG 211	HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE >17 W/O CC	211	IP					48910.1	31791.57	1125	48910.1	N/A	1125	N/A	N/A	1125	N/A	N/A	N/A	N/A	N/A	N/A	N/A	34090.34	28465.68	N/A	32769.77	33747.97	N/A	N/A	N/A	N/A	N/A	44019.09	1150	N/A	21031.34	21031.34	N/A	N/A	2646	N/A	N/A	N/A	N/A
2/15/2024	DRG	3820	MS-DRG 212	HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE 0-17	212	IP					148868.05	96764.23	1125	175632.41	N/A	1125	68880.54	68880.54	1125	N/A	93812.8	N/A	68880.54	93812.8	N/A	N/A	103761.03	86641.21	70258.15	99741.59	102718.95	68880.54	N/A	129776.16	N/A	68880.54	133981.24	1150	68496.64	64013.26	64013.26	59238.85	68880.54	2646	N/A	65436.51	68880.54	70252.96
2/15/2024	DRG	3821	MS-DRG 213	AMPUTATION FOR MUSCULOSKELETAL SYSTEM & CONN TISSUE DISORDERS	213	IP					382425.6	248576.64	1125	382425.6	N/A	1125	N/A	N/A	1125	N/A	N/A	N/A	N/A	N/A	N/A	N/A	266550.64	222571.7	N/A	256225.15	263873.66	N/A	N/A	N/A	N/A	N/A	344183.04	1150	N/A	164443.01	164443.01	N/A	N/A	2646	N/A	N/A	N/A	N/A
2/15/2024	DRG	3822	MS-DRG 214	NO LONGER VALID	214	IP					68145.15	44294.35	1125	68145.15	N/A	1125	N/A	N/A	1125	N/A	N/A	N/A	N/A	N/A	N/A	N/A	47497.17	39660.48	N/A	45657.25	47020.15	N/A	N/A	N/A	N/A	N/A	61330.63	1150	N/A	29302.41	29302.41	N/A	N/A	2646	N/A	N/A	N/A	N/A
2/15/2024	DRG	3823	MS-DRG 215	OTHER HEART ASSIST SYSTEM IMPLANT	215	IP					335128.6	217833.59	1125	335128.6	N/A	1125	103168.33	103168.33	1125	N/A	88970.9	N/A	103168.33	88970.9	N/A	N/A	233584.63	195044.85	105231.7	224536.16	231238.73	103168.33	N/A	123078.13	N/A	103168.33	301615.74	1150	102609.49	144105.3	144105.3	56181.4	103168.33	2646	N/A	98009.91	103168.33	105240.5
2/15/2024	DRG	3824	MS-DRG 216	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC	216	IP					303808.65	197475.62	1125	303808.65	N/A	1125	91296.4	91296.4	1125	N/A	84533.17	N/A	91296.4	84533.17	N/A	N/A	211754.63	176816.63	93122.33	203551.8	209627.97	91296.4	N/A	116939.16	N/A	91296.4	273427.78	1150	90798.13	130637.72	130637.72	53379.15	91296.4	2646	N/A	86731.58	91296.4	93126.29
2/15/2024	DRG	3825	MS-DRG 217	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC	217	IP					162028.05	105318.23	1125	162028.05	N/A	1125	41055.92	41055.92	1125	N/A	55441.76	N/A	41055.92	55441.76	N/A	N/A	112933.55	94300.33	41877.04	108558.79	111799.35	41055.92	N/A	76695.5	N/A	41055.92	145825.24	1150	40813.98	69672.06	69672.06	35009.15	41055.92	2646	N/A	39003.12	41055.92	41860.49
2/15/2024	DRG	3826	MS-DRG 218	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC	218	IP					52475.89	34109.33	1125	93878.53	N/A	1125	36833.02	36833.02	1125	N/A	49618.26	N/A	36833.02	49618.26	N/A	N/A	36575.7	30540.97	37569.68	35158.85	36208.36	36833.02	N/A	68639.54	N/A	36833.02	47228.3	1150	36612.62	22564.63	22564.63	31331.85	36833.02	2646	N/A	34991.37	36833.02	37551.41
2/15/2024	DRG	3827	MS-DRG 219	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC	219	IP					302432.06	196580.84	1125	302432.06	N/A	1125	88293.85	88293.85	1125	N/A	67164.55	N/A	88293.85	67164.55	N/A	N/A	210795.15	176015.46	90059.73	202629.48	208678.12	88293.85	N/A	92912.25	N/A	88293.85	272188.85	1150	87810.9	130045.79	130045.79	42411.6	88293.85	2646	N/A	83879.16	88293.85	90062.46
2/15/2024	DRG	3828	MS-DRG 220	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC	220	IP					111085.61	72205.65	1125	111085.61	N/A	1125	33977.54	33977.54	1125	N/A	45680.46	N/A	33977.54	45680.46	N/A	N/A	77426.67	64651.83	34657.09	74427.36	76649.07	33977.54	N/A	63192.19	N/A	33977.54	99977.05	1150	33771.71	47766.81	47766.81	28845.3	33977.54	2646	N/A	32278.66	33977.54	34637.65
2/15/2024	DRG	3829	MS-DRG 221	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC	221	IP					129859.38	84408.6	1125	129859.38	N/A	1125	30213.2	30213.2	1125	N/A	40489.31	N/A	30213.2	40489.31	N/A	N/A	90511.99	75578.16	30817.46	87005.78	89602.97	30213.2	N/A	56010.98	N/A	30213.2	116873.44	1150	30026.58	55839.53	55839.53	25567.3	30213.2	2646	N/A	28702.54	30213.2	30796.49
2/15/2024	DRG	3830	MS-DRG 222	"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MCC"	222	IP					159375.1	103593.82	1125	159375.1	N/A	1125	49211.79	49211.79	1125	N/A	N/A	N/A	49211.79	N/A	N/A	N/A	111084.44	92756.31	50196.03	106781.32	109968.82	49211.79	N/A	N/A	N/A	49211.79	143437.59	1150	48928.24	68531.29	68531.29	N/A	49211.79	2646	N/A	46751.2	49211.79	50182.81
2/15/2024	DRG	3831	MS-DRG 223	"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT MCC"	223	IP					290106.23	188569.05	1125	290106.23	N/A	1125	80737.99	80737.99	1125	N/A	N/A	N/A	80737.99	N/A	N/A	N/A	202204.04	168841.83	82352.75	194371.17	200173.3	80737.99	N/A	N/A	N/A	80737.99	261095.61	1150	80293.59	124745.68	124745.68	N/A	80737.99	2646	N/A	76701.09	80737.99	82352.4
2/15/2024	DRG	3832	MS-DRG 224	"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH MCC"	224	IP					35291.23	22939.3	1125	116314.93	N/A	1125	45628.09	45628.09	1125	N/A	N/A	N/A	45628.09	N/A	N/A	N/A	24597.99	20539.5	46540.65	23645.12	24350.95	45628.09	N/A	N/A	N/A	45628.09	31762.11	1150	45362.82	15175.23	15175.23	N/A	45628.09	2646	N/A	43346.69	45628.09	46525.97
2/15/2024	DRG	3833	MS-DRG 225	"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITHOUT MCC"	225	IP					165498.01	107573.71	1125	165498.01	N/A	1125	35852.67	35852.67	1125	N/A	N/A	N/A	35852.67	N/A	N/A	N/A	115352.11	96319.84	36569.72	110883.67	114193.63	35852.67	N/A	N/A	N/A	35852.67	148948.21	1150	35637.27	71164.14	71164.14	N/A	35852.67	2646	N/A	34060.04	35852.67	36551.05
2/15/2024	DRG	3834	MS-DRG 226	CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC	226	IP					197034.5	128072.43	1125	197034.5	N/A	1125	48851.19	48851.19	1125	N/A	N/A	N/A	48851.19	N/A	N/A	N/A	137333.05	114674.08	49828.22	132013.12	135953.81	48851.19	N/A	N/A	N/A	48851.19	177331.05	1150	48569.48	84724.84	84724.84	N/A	48851.19	2646	N/A	46408.63	48851.19	49814.85
2/15/2024	DRG	3835	MS-DRG 227	CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC	227	IP					125713.88	81714.02	1125	125713.88	N/A	1125	32563.4	32563.4	1125	N/A	N/A	N/A	32563.4	N/A	N/A	N/A	87622.57	73165.48	33214.66	84228.3	86742.58	32563.4	N/A	N/A	N/A	32563.4	113142.49	1150	32364.78	54056.97	54056.97	N/A	32563.4	2646	N/A	30935.23	32563.4	33194.65
2/15/2024	DRG	3836	MS-DRG 228	OTHER CARDIOTHORACIC PROCEDURES WITH MCC	228	IP					99958.54	64973.05	1125	99958.54	N/A	1125	32677.08	32677.08	1125	N/A	43887.07	N/A	32677.08	43887.07	N/A	N/A	69671.1	58175.87	33330.62	66972.22	68971.39	32677.08	N/A	60711.3	N/A	32677.08	89962.69	1150	32477.88	42982.17	42982.17	27712.85	32677.08	2646	N/A	31043.22	32677.08	33310.65
2/15/2024	DRG	3837	MS-DRG 229	OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC	229	IP					91193.2	59275.58	1125	91193.2	N/A	1125	20934.95	20934.95	1125	N/A	27694.31	N/A	20934.95	27694.31	N/A	N/A	63561.66	53074.44	21353.65	61099.44	62923.31	20934.95	N/A	38311	N/A	20934.95	82073.88	1150	20795.67	39213.08	39213.08	17487.8	20934.95	2646	N/A	19888.2	20934.95	21328.89
2/15/2024	DRG	3838	MS-DRG 230	OTHER CARDIOTHORACIC PROCEDURES W/O CC/MCC	230	IP					288760.15	187694.1	1125	288760.15	N/A	1125	79101.69	79101.69	1125	N/A	N/A	N/A	79101.69	N/A	N/A	N/A	201265.82	168058.41	80683.72	193469.3	199244.5	79101.69	N/A	N/A	N/A	79101.69	259884.14	1150	78665.63	124166.86	124166.86	N/A	79101.69	2646	N/A	75146.6	79101.69	80682.7
2/15/2024	DRG	3839	MS-DRG 231	CORONARY BYPASS WITH PTCA WITH MCC	231	IP					312560.3	203164.2	1125	312560.3	N/A	1125	92434	92434	1125	N/A	70683.39	N/A	92434	70683.39	N/A	N/A	217854.53	181910.09	94282.68	209415.4	215666.61	92434	N/A	97780.04	N/A	92434	281304.27	1150	91929.92	134400.93	134400.93	44633.6	92434	2646	N/A	87812.3	92434	94287.1
2/15/2024	DRG	3840	MS-DRG 232	CORONARY BYPASS WITH PTCA WITHOUT MCC	232	IP					194247.61	126260.95	1125	194247.61	N/A	1125	47282.78	47282.78	1125	N/A	51812.3	N/A	47282.78	51812.3	N/A	N/A	135390.58	113052.11	48228.44	130145.9	134030.85	47282.78	N/A	71674.68	N/A	47282.78	174822.85	1150	47009.07	83526.47	83526.47	32717.3	47282.78	2646	N/A	44918.64	47282.78	48214.43
2/15/2024	DRG	3841	MS-DRG 233	CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC	233	IP					215419.13	140022.43	1125	215419.13	N/A	1125	57203.46	57203.46	1125	N/A	67934.51	N/A	57203.46	67934.51	N/A	N/A	150147.13	125373.93	58347.53	144330.82	148639.2	57203.46	N/A	93977.38	N/A	57203.46	193877.22	1150	56879.13	92630.23	92630.23	42897.8	57203.46	2646	N/A	54343.29	57203.46	58337.57
2/15/2024	DRG	3842	MS-DRG 234	CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC	234	IP					151346.44	98375.19	1125	151346.44	N/A	1125	33682.6	33682.6	1125	N/A	45273.71	N/A	33682.6	45273.71	N/A	N/A	105488.47	88083.63	34356.25	101402.11	104429.04	33682.6	N/A	62629.5	N/A	33682.6	136211.8	1150	33478.27	65078.97	65078.97	28588.45	33682.6	2646	N/A	31998.47	33682.6	34336.69
2/15/2024	DRG	3843	MS-DRG 235	CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC	235	IP					120412.94	78268.41	1125	120412.94	N/A	1125	37994.54	37994.54	1125	N/A	51220.03	N/A	37994.54	51220.03	N/A	N/A	83927.82	70080.33	38754.43	80676.67	83084.93	37994.54	N/A	70855.35	N/A	37994.54	108371.65	1150	37768.21	51777.56	51777.56	32343.3	37994.54	2646	N/A	36094.81	37994.54	38736.63
2/15/2024	DRG	3844	MS-DRG 236	CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC	236	IP					99681.47	64792.96	1125	99681.47	N/A	1125	26376.85	26376.85	1125	N/A	35198.85	N/A	26376.85	35198.85	N/A	N/A	69477.98	58014.62	26904.39	66786.58	68780.21	26376.85	N/A	48692.42	N/A	26376.85	89713.32	1150	26209.8	42863.03	42863.03	22226.6	26376.85	2646	N/A	25058.01	26376.85	26881.85
2/15/2024	DRG	3845	MS-DRG 237	MAJOR CARDIOVASC PROCEDURES W MCC	237	IP					715523.45	465090.24	1125	715523.45	N/A	1125	233117.52	233117.52	1125	N/A	N/A	N/A	233117.52	N/A	N/A	N/A	498719.84	416434.65	237779.87	479400.71	493711.18	233117.52	N/A	N/A	N/A	233117.52	643971.1	1150	231895.67	307675.08	307675.08	N/A	233117.52	2646	N/A	221461.64	233117.52	237841.71
2/15/2024	DRG	3846	MS-DRG 238	MAJOR CARDIOVASC PROCEDURES W/O MCC	238	IP					300874.7	195568.56	1125	300874.7	N/A	1125	82341.5	82341.5	1125	N/A	N/A	N/A	82341.5	N/A	N/A	N/A	209709.67	175109.08	83988.33	201586.05	207603.54	82341.5	N/A	N/A	N/A	82341.5	270787.23	1150	81888.91	129376.12	129376.12	N/A	82341.5	2646	N/A	78224.42	82341.5	83988.63
2/15/2024	DRG	3847	MS-DRG 239	AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC	239	IP					195923	127349.95	1125	195923	N/A	1125	46446.96	46446.96	1125	N/A	41867.23	N/A	46446.96	41867.23	N/A	N/A	136558.33	114027.19	47375.9	131268.41	135186.87	46446.96	N/A	57917.13	N/A	46446.96	176330.7	1150	46177.51	84246.89	84246.89	26437.4	46446.96	2646	N/A	44124.61	46446.96	47361.55
2/15/2024	DRG	3848	MS-DRG 240	AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC	240	IP					51095.05	33211.78	1125	51095.05	N/A	1125	18595.49	18595.49	1125	N/A	24468.13	N/A	18595.49	24468.13	N/A	N/A	35613.25	29737.32	18967.4	34233.68	35255.58	18595.49	N/A	33848.05	N/A	18595.49	45985.55	1150	18468.14	21970.87	21970.87	15450.6	18595.49	2646	N/A	17665.71	18595.49	18941.68
2/15/2024	DRG	3849	MS-DRG 241	AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC	241	IP					68296.07	44392.45	1125	68296.07	N/A	1125	9657.05	9657.05	1125	N/A	12141.74	N/A	9657.05	12141.74	N/A	N/A	47602.36	39748.31	9850.19	45758.37	47124.29	9657.05	N/A	16796.31	N/A	9657.05	61466.46	1150	9575.31	29367.31	29367.31	7667	9657.05	2646	N/A	9174.2	9657.05	9820.83
2/15/2024	DRG	3850	MS-DRG 242	PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC	242	IP					165390.68	107503.94	1125	165390.68	N/A	1125	33797.85	33797.85	1125	N/A	30093.92	N/A	33797.85	30093.92	N/A	N/A	115277.3	96257.38	34473.81	110811.76	114119.57	33797.85	N/A	41630.5	N/A	33797.85	148851.61	1150	33592.94	71117.99	71117.99	19003.05	33797.85	2646	N/A	32107.96	33797.85	34454.3
2/15/2024	DRG	3851	MS-DRG 243	PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC	243	IP					59612.99	38748.44	1125	59612.99	N/A	1125	15237.91	15237.91	1125	N/A	19837.9	N/A	15237.91	19837.9	N/A	N/A	41550.25	34694.76	15542.67	39940.7	41132.96	15237.91	N/A	27442.8	N/A	15237.91	53651.69	1150	15127.69	25633.59	25633.59	12526.8	15237.91	2646	N/A	14476.01	15237.91	15515.58
2/15/2024	DRG	3852	MS-DRG 244	PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC	244	IP					69413.85	45119	1125	69413.85	N/A	1125	12407.7	12407.7	1125	N/A	15934.94	N/A	12407.7	15934.94	N/A	N/A	48381.45	40398.86	12655.85	46507.28	47895.56	12407.7	N/A	22043.65	N/A	12407.7	62472.47	1150	12311.92	29847.96	29847.96	10062.25	12407.7	2646	N/A	11787.31	12407.7	12627.61
2/15/2024	DRG	3853	MS-DRG 245	AICD GENERATOR PROCEDURES	245	IP					97360.51	63284.33	1125	97360.51	N/A	1125	29472.96	29472.96	1125	N/A	39468.49	N/A	29472.96	39468.49	N/A	N/A	67860.28	56663.82	30062.42	65231.54	67178.75	29472.96	N/A	54598.84	N/A	29472.96	87624.46	1150	29290.11	41865.02	41865.02	24922.7	29472.96	2646	N/A	27999.31	29472.96	30041.14
2/15/2024	DRG	3854	MS-DRG 246	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS	246	IP					251843.09	163698.01	1125	251843.09	N/A	1125	64220.07	64220.07	1125	N/A	N/A	N/A	64220.07	N/A	N/A	N/A	175534.63	146572.68	65504.47	168734.87	173771.73	64220.07	N/A	N/A	N/A	64220.07	226658.78	1150	63859.95	108292.53	108292.53	N/A	64220.07	2646	N/A	61009.07	64220.07	65497.38
2/15/2024	DRG	3855	MS-DRG 247	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC	247	IP					71973.82	46782.98	1125	71973.82	N/A	1125	12912.97	12912.97	1125	N/A	N/A	N/A	12912.97	N/A	N/A	N/A	50165.75	41888.76	13171.23	48222.46	49661.94	12912.97	N/A	N/A	N/A	12912.97	64776.44	1150	12814.61	30948.74	30948.74	N/A	12912.97	2646	N/A	12267.32	12912.97	13143.19
2/15/2024	DRG	3856	MS-DRG 248	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS	248	IP					99454.8	64645.62	1125	99454.8	N/A	1125	19862.48	19862.48	1125	N/A	N/A	N/A	19862.48	N/A	N/A	N/A	69320	57882.69	20259.73	66634.72	68623.81	19862.48	N/A	N/A	N/A	19862.48	89509.32	1150	19728.67	42765.56	42765.56	N/A	19862.48	2646	N/A	18869.36	19862.48	20234.53
2/15/2024	DRG	3857	MS-DRG 249	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC	249	IP					120263.5	78171.28	1125	120263.5	N/A	1125	15554.48	15554.48	1125	N/A	N/A	N/A	15554.48	N/A	N/A	N/A	83823.66	69993.36	15865.57	80576.54	82981.81	15554.48	N/A	N/A	N/A	15554.48	108237.15	1150	15442.64	51713.3	51713.3	N/A	15554.48	2646	N/A	14776.75	15554.48	15838.61
2/15/2024	DRG	3858	MS-DRG 250	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC	250	IP					124284.85	80785.15	1125	124284.85	N/A	1125	17668.46	17668.46	1125	N/A	20475.47	N/A	17668.46	20475.47	N/A	N/A	86626.54	72333.78	18021.82	83270.85	85756.55	17668.46	N/A	28324.79	N/A	17668.46	111856.36	1150	17545.84	53442.49	53442.49	12929.4	17668.46	2646	N/A	16785.03	17668.46	17995.73
2/15/2024	DRG	3859	MS-DRG 251	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC	251	IP					92078.6	59851.09	1125	92078.6	N/A	1125	10875.42	10875.42	1125	N/A	13821.9	N/A	10875.42	13821.9	N/A	N/A	64178.78	53589.75	11092.93	61692.66	63534.23	10875.42	N/A	19120.56	N/A	10875.42	82870.74	1150	10787.46	39593.8	39593.8	8727.95	10875.42	2646	N/A	10331.65	10875.42	11064.06
2/15/2024	DRG	3860	MS-DRG 252	OTHER VASCULAR PROCEDURES WITH MCC	252	IP					123233.8	80101.97	1125	123233.8	N/A	1125	22035.21	22035.21	1125	N/A	29211.6	N/A	22035.21	29211.6	N/A	N/A	85893.96	71722.07	22475.91	82566.65	85031.32	22035.21	N/A	40409.94	N/A	22035.21	110910.42	1150	21890.31	52990.53	52990.53	18445.9	22035.21	2646	N/A	20933.45	22035.21	22451.6
2/15/2024	DRG	3861	MS-DRG 253	OTHER VASCULAR PROCEDURES WITH CC	253	IP					118251.75	76863.64	1125	118251.75	N/A	1125	16965.33	16965.33	1125	N/A	22220.08	N/A	16965.33	22220.08	N/A	N/A	82421.47	68822.52	17304.63	79228.67	81593.71	16965.33	N/A	30738.2	N/A	16965.33	106426.57	1150	16846.29	50848.25	50848.25	14031.05	16965.33	2646	N/A	16117.06	16965.33	17278.25
2/15/2024	DRG	3862	MS-DRG 254	OTHER VASCULAR PROCEDURES WITHOUT CC/MCC	254	IP					49571.69	32221.6	1125	49571.69	N/A	1125	11811.46	11811.46	1125	N/A	15112.72	N/A	11811.46	15112.72	N/A	N/A	34551.47	28850.72	12047.69	33213.03	34204.47	11811.46	N/A	20906.22	N/A	11811.46	44614.52	1150	11718.72	21315.83	21315.83	9543.05	11811.46	2646	N/A	11220.88	11811.46	12019.2
2/15/2024	DRG	3863	MS-DRG 255	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC	255	IP					37721.69	24519.1	1125	46358.5	N/A	1125	18205.17	18205.17	1125	N/A	23929.85	N/A	18205.17	23929.85	N/A	N/A	26292.02	21954.02	18569.28	25273.53	26027.97	18205.17	N/A	33103.42	N/A	18205.17	33949.52	1150	18079.81	16220.33	16220.33	15110.7	18205.17	2646	N/A	17294.91	18205.17	18543.4
2/15/2024	DRG	3864	MS-DRG 256	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC	256	IP					41018.55	26662.06	1125	41018.55	N/A	1125	11208.9	11208.9	1125	N/A	14281.79	N/A	11208.9	14281.79	N/A	N/A	28589.93	23872.8	11433.08	27482.43	28302.8	11208.9	N/A	19756.75	N/A	11208.9	36916.7	1150	11119.24	17637.98	17637.98	9018.35	11208.9	2646	N/A	10648.46	11208.9	11404.35
2/15/2024	DRG	3865	MS-DRG 257	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC	257	IP					36216.63	23540.81	1125	36216.63	N/A	1125	7111.7	7111.7	1125	N/A	8631.61	N/A	7111.7	8631.61	N/A	N/A	25242.99	21078.08	7253.93	24265.14	24989.47	7111.7	N/A	11940.56	N/A	7111.7	32594.97	1150	7042.94	15573.15	15573.15	5450.5	7111.7	2646	N/A	6756.11	7111.7	7223.53
2/15/2024	DRG	3866	MS-DRG 258	CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC	258	IP					66366.35	43138.13	1125	66366.35	N/A	1125	17960.11	17960.11	1125	N/A	23591.91	N/A	17960.11	23591.91	N/A	N/A	46257.35	38625.22	18319.32	44465.45	45792.78	17960.11	N/A	32635.92	N/A	17960.11	59729.72	1150	17836.01	28537.53	28537.53	14897.3	17960.11	2646	N/A	17062.11	17960.11	18293.34
2/15/2024	DRG	3867	MS-DRG 259	CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC	259	IP					58252.65	37864.22	1125	58252.65	N/A	1125	12642.02	12642.02	1125	N/A	16258.09	N/A	12642.02	16258.09	N/A	N/A	40602.1	33903.04	12894.86	39029.28	40194.33	12642.02	N/A	22490.66	N/A	12642.02	52427.39	1150	12545.04	25048.64	25048.64	10266.3	12642.02	2646	N/A	12009.91	12642.02	12866.71
2/15/2024	DRG	3868	MS-DRG 260	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC	260	IP					112219.86	72942.91	1125	112219.86	N/A	1125	21791.4	21791.4	1125	N/A	28875.4	N/A	21791.4	28875.4	N/A	N/A	78217.24	65311.96	22227.23	75187.31	77431.7	21791.4	N/A	39944.84	N/A	21791.4	100997.87	1150	21647.75	48254.54	48254.54	18233.6	21791.4	2646	N/A	20701.83	21791.4	22202.82
2/15/2024	DRG	3869	MS-DRG 261	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC	261	IP					50271.86	32676.71	1125	50271.86	N/A	1125	12738.02	12738.02	1125	N/A	16390.48	N/A	12738.02	16390.48	N/A	N/A	35039.49	29258.22	12992.78	33682.15	34687.58	12738.02	N/A	22673.81	N/A	12738.02	45244.67	1150	12640.55	21616.9	21616.9	10349.9	12738.02	2646	N/A	12101.12	12738.02	12964.67
2/15/2024	DRG	3870	MS-DRG 262	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC	262	IP					65578.62	42626.1	1125	65578.62	N/A	1125	11244.28	11244.28	1125	N/A	14330.56	N/A	11244.28	14330.56	N/A	N/A	45708.3	38166.76	11469.17	43937.68	45249.25	11244.28	N/A	19824.22	N/A	11244.28	59020.76	1150	11154.44	28198.81	28198.81	9049.15	11244.28	2646	N/A	10682.07	11244.28	11440.45
2/15/2024	DRG	3871	MS-DRG 263	VEIN LIGATION AND STRIPPING	263	IP					114668.35	74534.43	1125	114668.35	N/A	1125	18696.56	18696.56	1125	N/A	24607.49	N/A	18696.56	24607.49	N/A	N/A	79923.84	66736.98	19070.49	76827.79	79121.16	18696.56	N/A	34040.83	N/A	18696.56	103201.52	1150	18568.7	49307.39	49307.39	15538.6	18696.56	2646	N/A	17761.74	18696.56	19044.82
2/15/2024	DRG	3872	MS-DRG 264	OTHER CIRCULATORY SYSTEM O.R. PROCEDURES	264	IP					49580.14	32227.09	1125	54714.33	N/A	1125	21480.66	21480.66	1125	N/A	28446.86	N/A	21480.66	28446.86	N/A	N/A	34557.36	28855.64	21910.27	33218.69	34210.3	21480.66	N/A	39352.03	N/A	21480.66	44622.13	1150	21338.59	21319.46	21319.46	17963	21480.66	2646	N/A	20406.62	21480.66	21885.73
2/15/2024	DRG	3873	MS-DRG 265	AICD LEAD PROCEDURES	265	IP					97365.4	63287.51	1125	97365.4	N/A	1125	23173.99	23173.99	1125	N/A	30782.01	N/A	23173.99	30782.01	N/A	N/A	67863.68	56666.66	23637.47	65234.82	67182.13	23173.99	N/A	42582.37	N/A	23173.99	87628.86	1150	23023.28	41867.12	41867.12	19437.55	23173.99	2646	N/A	22015.29	23173.99	23613.62
2/15/2024	DRG	3874	MS-DRG 266	ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC	266	IP					187383.61	121799.35	1125	187383.61	N/A	1125	45195.76	45195.76	1125	N/A	54403.53	N/A	45195.76	54403.53	N/A	N/A	130606.38	109057.26	46099.68	125547.02	129294.69	45195.76	N/A	75259.26	N/A	45195.76	168645.25	1150	44932.7	80574.95	80574.95	34353.55	45195.76	2646	N/A	42935.98	45195.76	46084.82
